contig_id	contig_length	total_genes	viral_genes	host_genes	provirus	proviral_length	host_length	region_types	region_lengths	region_coords_bp	region_coords_genes	region_viral_genes	region_host_genes
SRR35808553_ctg2411|provirus_2913402_2926596	13195	18	8	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg78|provirus_2163821_2228021	64201	68	11	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg127|provirus_3889343_3949983	60641	76	11	5	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg148|provirus_1848576_1881419	32844	34	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg148|provirus_4840404_4870509	30106	25	1	9	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg229|provirus_1250977_1269435	18459	28	8	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg229|provirus_1819251_1937834	118584	173	36	6	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg229|provirus_3372586_3421449	48864	68	22	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg249|provirus_3621693_3649675	27983	31	11	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg249|provirus_5051454_5077557	26104	44	5	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg249|provirus_5956087_5983457	27371	42	16	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg321|provirus_1197778_1215963	18186	26	11	2	Yes	15675	2511	host,viral	2511,15675	1-2511,2512-18186	1-2,3-26	0,11	2,0
SRR35808611_ctg442|provirus_3721232_3760862	39631	60	21	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg442|provirus_4085068_4130200	45133	62	29	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg514|provirus_65875_84826	18952	28	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg514|provirus_397177_435424	38248	50	1	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg514|provirus_1250261_1300284	50024	67	17	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg691|provirus_3883369_3899580	16212	20	1	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg707|provirus_2599798_2638515	38718	57	18	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg707|provirus_4130438_4148164	17727	23	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg707|provirus_5227802_5272024	44223	53	10	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg707|provirus_5347710_5392557	44848	66	21	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg766|provirus_1422151_1433424	11274	16	10	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg766|provirus_3052431_3090503	38073	67	20	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg834|provirus_753424_774440	21017	23	10	4	Yes	16619	4398	host,viral	4398,16619	1-4398,4399-21017	1-4,5-23	0,10	3,1
SRR35808611_ctg923|provirus_3125165_3167586	42422	58	19	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg1000|provirus_1627072_1664627	37556	52	11	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg1000|provirus_3071585_3118101	46517	76	23	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg1000|provirus_4714732_4718715	3984	9	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg1133|provirus_1492588_1509062	16475	20	8	3	Yes	11714	4761	viral,host	11714,4761	1-11714,11715-16475	1-16,17-20	8,0	0,3
SRR35808611_ctg1196|provirus_2645561_2674181	28621	39	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg1214|provirus_771119_813367	42249	56	15	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg1245|provirus_4648168_4672002	23835	33	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg1318|provirus_721924_774574	52651	80	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808611_ctg1318|provirus_3971022_4000357	29336	38	11	6	Yes	19326	10010	viral,host,viral	4525,10010,14801	1-4525,4526-14535,14536-29336	1-7,8-22,23-38	4,0,7	0,5,1
SRR35808900_ctg1246|provirus_3828678_3845801	17124	22	5	3	Yes	13784	3340	host,viral	3340,13784	1-3340,3341-17124	1-2,3-22	0,5	2,1
SRR35808900_ctg1948|provirus_1952503_1965663	13161	18	7	2	Yes	10212	2949	host,viral	2949,10212	1-2949,2950-13161	1-2,3-18	0,7	2,0
SRR35808900_ctg4842|provirus_3141516_3162532	21017	23	10	4	Yes	16619	4398	host,viral	4398,16619	1-4398,4399-21017	1-4,5-23	0,10	3,1
SRR35808900_ctg7653|provirus_1354224_1382638	28415	41	6	4	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808900_ctg7653|provirus_2781229_2810396	29168	37	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808900_ctg8479|provirus_2832928_2851386	18459	28	8	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808900_ctg8479|provirus_3401202_3519784	118583	172	36	6	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808900_ctg8479|provirus_4954536_5003399	48864	68	22	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809155_ctg14|provirus_3590085_3637296	47212	62	19	2	Yes	43351	3861	viral,host	43351,3861	1-43351,43352-47212	1-60,61-62	19,0	0,2
SRR35809155_ctg108|provirus_3243057_3288390	45334	63	29	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809155_ctg108|provirus_3612395_3652025	39631	60	21	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809155_ctg339|provirus_1943074_1959548	16475	20	8	3	Yes	11868	4607	host,viral	4607,11868	1-4607,4608-16475	1-4,5-20	0,8	3,0
SRR35809155_ctg370|provirus_105204_146413	41210	66	19	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809155_ctg370|provirus_1105152_1159557	54406	76	19	6	Yes	48592	5814	host,viral,host	1753,48592,4061	1-1753,1754-50345,50346-54406	1-3,4-72,73-76	0,19,0	2,0,4
SRR35809155_ctg370|provirus_1812884_1822384	9501	14	6	2	Yes	6364	3137	viral,host	6364,3137	1-6364,6365-9501	1-12,13-14	6,0	0,2
SRR35809155_ctg370|provirus_2896115_2935207	39093	50	9	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809155_ctg372|provirus_5549897_5567507	17611	23	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809155_ctg606|provirus_937795_979193	41399	47	11	9	Yes	22785	18614	host,viral	18614,22785	1-18614,18615-41399	1-22,23-47	1,10	7,2
SRR35809155_ctg606|provirus_4387035_4400344	13310	14	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg162|provirus_1581718_1642358	60641	76	11	5	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg866|provirus_3351243_3393491	42249	56	15	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg873|provirus_1850536_1873933	23398	29	8	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg1020|provirus_2_40379	40378	54	11	3	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg1020|provirus_1447336_1493852	46517	76	23	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg1020|provirus_3090483_3099724	9242	14	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg1346|provirus_1220173_1262594	42422	58	19	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg1415|provirus_2264398_2309731	45334	63	29	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg1415|provirus_2633736_2673366	39631	60	21	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg2068|provirus_18015_35937	17923	21	11	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg2068|provirus_860652_901575	40924	46	12	4	Yes	35329	5595	host,viral	5595,35329	1-5595,5596-40924	1-4,5-46	0,12	2,2
SRR35809332_ctg2068|provirus_3176328_3277563	101236	137	26	3	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg2081|provirus_39255_80653	41399	47	11	9	Yes	22785	18614	host,viral	18614,22785	1-18614,18615-41399	1-22,23-47	1,10	7,2
SRR35809332_ctg2081|provirus_3488495_3501804	13310	14	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg2090|provirus_2649967_2691478	41512	51	16	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg2153|provirus_2560688_2570968	10281	14	6	3	Yes	5839	4442	viral,host	5839,4442	1-5839,5840-10281	1-11,12-14	6,0	0,3
SRR35809332_ctg2198|provirus_2335298_2349741	14444	18	12	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg2198|provirus_2596389_2609502	13114	19	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg2198|provirus_2800982_2824876	23895	27	4	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809332_ctg2198|provirus_2961896_2970882	8987	10	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809336_ctg476|provirus_3424450_3485090	60641	76	11	5	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809336_ctg3748|provirus_1558804_1576989	18186	26	11	2	Yes	15531	2655	viral,host	15531,2655	1-15531,15532-18186	1-24,25-26	11,0	0,2
SRR35809336_ctg7700|provirus_1204131_1219750	15620	19	10	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809336_ctg10052|provirus_1464516_1476667	12152	16	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809336_ctg10052|provirus_1805875_1849128	43254	61	25	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809336_ctg10687|provirus_80689_91411	10723	14	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809336_ctg10687|provirus_1842010_1858055	16046	22	11	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35809336_ctg10687|provirus_4211115_4255250	44136	63	25	3	No	NA	NA	NA	NA	NA	NA	NA	NA
