contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
SRR35808611_ctg229|provirus_1250977_1269435	18459	No	NA	28	8	2	Low-quality	Genome-fragment	43.03	AAI-based (medium-confidence)	0.0	1.0	
SRR35808611_ctg229|provirus_1819251_1937834	118584	No	NA	173	36	6	Medium-quality	Genome-fragment	88.68	HMM-based (lower-bound)	0.0	1.0	
SRR35808611_ctg229|provirus_3372586_3421449	48864	No	NA	68	22	1	Medium-quality	Genome-fragment	66.25	HMM-based (lower-bound)	0.0	1.0	
SRR35808611_ctg249|provirus_3621693_3649675	27983	No	NA	31	11	1	Low-quality	Genome-fragment	42.14	HMM-based (lower-bound)	0.0	1.0	
SRR35808611_ctg249|provirus_5051454_5077557	26104	No	NA	44	5	1	Low-quality	Genome-fragment	37.27	HMM-based (lower-bound)	0.0	1.0	
SRR35808611_ctg249|provirus_5956087_5983457	27371	No	NA	42	16	0	Low-quality	Genome-fragment	37.31	HMM-based (lower-bound)	0.0	1.0	
SRR35808611_ctg321|provirus_1197778_1215963	18186	Yes	15675	26	11	2	Low-quality	Genome-fragment	33.05	AAI-based (medium-confidence)	13.81	1.0	
SRR35808611_ctg442|provirus_3721232_3760862	39631	No	NA	60	21	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
SRR35808611_ctg442|provirus_4085068_4130200	45133	No	NA	62	29	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
SRR35808611_ctg514|provirus_65875_84826	18952	No	NA	28	1	0	Low-quality	Genome-fragment	48.59	AAI-based (medium-confidence)	0.0	1.0	
SRR35808611_ctg514|provirus_397177_435424	38248	No	NA	50	1	2	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
SRR35808611_ctg514|provirus_1250261_1300284	50024	No	NA	67	17	0	High-quality	High-quality	96.0	AAI-based (medium-confidence)	0.0	1.0	
SRR35808611_ctg691|provirus_3883369_3899580	16212	No	NA	20	1	2	Low-quality	Genome-fragment	27.8	HMM-based (lower-bound)	0.0	1.0	
SRR35808611_ctg707|provirus_2599798_2638515	38718	No	NA	57	18	2	Medium-quality	Genome-fragment	88.04	AAI-based (medium-confidence)	0.0	1.0	
SRR35808611_ctg707|provirus_4130438_4148164	17727	No	NA	23	7	0	Low-quality	Genome-fragment	37.84	AAI-based (medium-confidence)	0.0	1.0	
SRR35808611_ctg707|provirus_5227802_5272024	44223	No	NA	53	10	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.02	
SRR35808611_ctg707|provirus_5347710_5392557	44848	No	NA	66	21	2	Medium-quality	Genome-fragment	61.36	HMM-based (lower-bound)	0.0	1.01	
SRR35808611_ctg766|provirus_1422151_1433424	11274	No	NA	16	10	1	Low-quality	Genome-fragment	25.54	AAI-based (medium-confidence)	0.0	1.0	
SRR35808611_ctg766|provirus_3052431_3090503	38073	No	NA	67	20	0	Medium-quality	Genome-fragment	53.19	HMM-based (lower-bound)	0.0	1.0	
SRR35808611_ctg834|provirus_753424_774440	21017	Yes	16619	23	10	4	Low-quality	Genome-fragment	36.63	AAI-based (medium-confidence)	20.93	1.0	
SRR35808611_ctg923|provirus_3125165_3167586	42422	No	NA	58	19	0	High-quality	High-quality	94.2	AAI-based (medium-confidence)	0.0	1.0	
SRR35808611_ctg1000|provirus_1627072_1664627	37556	No	NA	52	11	1	Medium-quality	Genome-fragment	65.2	AAI-based (medium-confidence)	0.0	1.0	
SRR35808611_ctg1000|provirus_3071585_3118101	46517	No	NA	76	23	2	Medium-quality	Genome-fragment	84.44	AAI-based (medium-confidence)	0.0	1.0	
SRR35808611_ctg1000|provirus_4714732_4718715	3984	No	NA	9	4	0	Low-quality	Genome-fragment	7.12	HMM-based (lower-bound)	0.0	1.0	
SRR35808611_ctg1133|provirus_1492588_1509062	16475	Yes	11714	20	8	3	Low-quality	Genome-fragment	15.11	HMM-based (lower-bound)	28.9	1.0	
SRR35808611_ctg1196|provirus_2645561_2674181	28621	No	NA	39	7	0	Low-quality	Genome-fragment	44.7	HMM-based (lower-bound)	0.0	1.0	
SRR35808611_ctg1214|provirus_771119_813367	42249	No	NA	56	15	1	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
SRR35808611_ctg1245|provirus_4648168_4672002	23835	No	NA	33	1	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	
SRR35808611_ctg1318|provirus_721924_774574	52651	No	NA	80	10	0	Medium-quality	Genome-fragment	78.67	HMM-based (lower-bound)	0.0	1.0	
SRR35808611_ctg1318|provirus_3971022_4000357	29336	Yes	19326	38	11	6	Medium-quality	Genome-fragment	53.88	AAI-based (medium-confidence)	34.12	1.0	>1 viral region detected
SRR35808900_ctg1246|provirus_3828678_3845801	17124	Yes	13784	22	5	3	Low-quality	Genome-fragment	16.32	HMM-based (lower-bound)	19.5	1.0	
SRR35808900_ctg1948|provirus_1952503_1965663	13161	Yes	10212	18	7	2	Low-quality	Genome-fragment	23.67	AAI-based (medium-confidence)	22.41	1.0	
SRR35808900_ctg4842|provirus_3141516_3162532	21017	Yes	16619	23	10	4	Low-quality	Genome-fragment	36.63	AAI-based (medium-confidence)	20.93	1.0	
SRR35808900_ctg7653|provirus_1354224_1382638	28415	No	NA	41	6	4	Medium-quality	Genome-fragment	65.75	AAI-based (medium-confidence)	0.0	1.0	
SRR35808900_ctg7653|provirus_2781229_2810396	29168	No	NA	37	1	1	Low-quality	Genome-fragment	44.35	HMM-based (lower-bound)	0.0	1.0	
SRR35808900_ctg8479|provirus_2832928_2851386	18459	No	NA	28	8	2	Low-quality	Genome-fragment	43.03	AAI-based (medium-confidence)	0.0	1.0	
SRR35808900_ctg8479|provirus_3401202_3519784	118583	No	NA	172	36	6	Medium-quality	Genome-fragment	88.68	HMM-based (lower-bound)	0.0	1.0	
SRR35808900_ctg8479|provirus_4954536_5003399	48864	No	NA	68	22	1	Medium-quality	Genome-fragment	66.25	HMM-based (lower-bound)	0.0	1.0	
SRR35809155_ctg14|provirus_3590085_3637296	47212	Yes	43351	62	19	2	High-quality	High-quality	96.27	AAI-based (medium-confidence)	8.18	1.0	
SRR35809155_ctg108|provirus_3243057_3288390	45334	No	NA	63	29	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
SRR35809155_ctg108|provirus_3612395_3652025	39631	No	NA	60	21	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
SRR35809155_ctg339|provirus_1943074_1959548	16475	Yes	11868	20	8	3	Low-quality	Genome-fragment	15.31	HMM-based (lower-bound)	27.96	1.0	
SRR35809155_ctg370|provirus_105204_146413	41210	No	NA	66	19	2	High-quality	High-quality	97.12	AAI-based (high-confidence)	0.0	1.01	
SRR35809155_ctg370|provirus_1105152_1159557	54406	Yes	48592	76	19	6	Complete	High-quality	100.0	Provirus (high-confidence)	10.69	1.0	
SRR35809155_ctg370|provirus_1812884_1822384	9501	Yes	6364	14	6	2	Low-quality	Genome-fragment	12.95	AAI-based (medium-confidence)	33.02	1.0	
SRR35809155_ctg370|provirus_2896115_2935207	39093	No	NA	50	9	1	Medium-quality	Genome-fragment	57.91	HMM-based (lower-bound)	0.0	1.0	
SRR35809155_ctg372|provirus_5549897_5567507	17611	No	NA	23	7	0	Low-quality	Genome-fragment	30.9	AAI-based (medium-confidence)	0.0	1.0	
SRR35809155_ctg606|provirus_937795_979193	41399	Yes	22785	47	11	9	Low-quality	Genome-fragment	30.01	HMM-based (lower-bound)	44.96	1.0	
SRR35809155_ctg606|provirus_4387035_4400344	13310	No	NA	14	4	0	Low-quality	Genome-fragment	18.52	HMM-based (lower-bound)	0.0	1.0	
SRR35809332_ctg162|provirus_1581718_1642358	60641	No	NA	76	11	5	Medium-quality	Genome-fragment	72.85	HMM-based (lower-bound)	0.0	1.01	
SRR35809332_ctg866|provirus_3351243_3393491	42249	No	NA	56	15	1	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
SRR35809332_ctg873|provirus_1850536_1873933	23398	No	NA	29	8	2	Medium-quality	Genome-fragment	60.86	AAI-based (medium-confidence)	0.0	1.0	
SRR35809332_ctg1020|provirus_2_40379	40378	No	NA	54	11	3	Medium-quality	Genome-fragment	70.09	AAI-based (medium-confidence)	0.0	1.0	
SRR35809332_ctg1020|provirus_1447336_1493852	46517	No	NA	76	23	2	Medium-quality	Genome-fragment	84.44	AAI-based (medium-confidence)	0.0	1.0	
SRR35809332_ctg1020|provirus_3090483_3099724	9242	No	NA	14	6	0	Low-quality	Genome-fragment	19.5	AAI-based (medium-confidence)	0.0	1.01	
SRR35809332_ctg1346|provirus_1220173_1262594	42422	No	NA	58	19	0	High-quality	High-quality	94.2	AAI-based (medium-confidence)	0.0	1.0	
SRR35809332_ctg1415|provirus_2264398_2309731	45334	No	NA	63	29	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
SRR35809332_ctg1415|provirus_2633736_2673366	39631	No	NA	60	21	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
SRR35809332_ctg2068|provirus_18015_35937	17923	No	NA	21	11	2	Low-quality	Genome-fragment	33.62	AAI-based (medium-confidence)	0.0	1.0	
SRR35809332_ctg2068|provirus_860652_901575	40924	Yes	35329	46	12	4	Medium-quality	Genome-fragment	52.31	HMM-based (lower-bound)	13.67	1.0	
SRR35809332_ctg2068|provirus_3176328_3277563	101236	No	NA	137	26	3	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	contig >1.5x longer than expected genome length
SRR35809332_ctg2081|provirus_39255_80653	41399	Yes	22785	47	11	9	Low-quality	Genome-fragment	30.01	HMM-based (lower-bound)	44.96	1.0	
SRR35809332_ctg2081|provirus_3488495_3501804	13310	No	NA	14	4	0	Low-quality	Genome-fragment	18.52	HMM-based (lower-bound)	0.0	1.0	
SRR35809332_ctg2090|provirus_2649967_2691478	41512	No	NA	51	16	1	Medium-quality	Genome-fragment	56.32	HMM-based (lower-bound)	0.0	1.0	
SRR35809332_ctg2153|provirus_2560688_2570968	10281	Yes	5839	14	6	3	Low-quality	Genome-fragment	11.55	AAI-based (medium-confidence)	43.21	1.0	
SRR35809332_ctg2198|provirus_2335298_2349741	14444	No	NA	18	12	1	Low-quality	Genome-fragment	25.64	AAI-based (medium-confidence)	0.0	1.0	
SRR35809332_ctg2198|provirus_2596389_2609502	13114	No	NA	19	6	0	Low-quality	Genome-fragment	29.87	AAI-based (medium-confidence)	0.0	1.0	
SRR35809332_ctg2198|provirus_2800982_2824876	23895	No	NA	27	4	1	Medium-quality	Genome-fragment	51.98	AAI-based (medium-confidence)	0.0	1.0	
SRR35809332_ctg2198|provirus_2961896_2970882	8987	No	NA	10	5	0	Low-quality	Genome-fragment	19.78	AAI-based (medium-confidence)	0.0	1.0	
SRR35809336_ctg476|provirus_3424450_3485090	60641	No	NA	76	11	5	Medium-quality	Genome-fragment	72.85	HMM-based (lower-bound)	0.0	1.01	
SRR35809336_ctg3748|provirus_1558804_1576989	18186	Yes	15531	26	11	2	Low-quality	Genome-fragment	32.74	AAI-based (medium-confidence)	14.6	1.0	
SRR35809336_ctg7700|provirus_1204131_1219750	15620	No	NA	19	10	1	Low-quality	Genome-fragment	34.73	AAI-based (medium-confidence)	0.0	1.0	
SRR35809336_ctg10052|provirus_1464516_1476667	12152	No	NA	16	10	0	Low-quality	Genome-fragment	23.39	AAI-based (medium-confidence)	0.0	1.0	
SRR35809336_ctg10052|provirus_1805875_1849128	43254	No	NA	61	25	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
SRR35809336_ctg10687|provirus_80689_91411	10723	No	NA	14	4	0	Low-quality	Genome-fragment	24.63	AAI-based (medium-confidence)	0.0	1.0	
SRR35809336_ctg10687|provirus_1842010_1858055	16046	No	NA	22	11	0	Low-quality	Genome-fragment	44.18	AAI-based (medium-confidence)	0.0	1.0	
SRR35809336_ctg10687|provirus_4211115_4255250	44136	No	NA	63	25	3	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
