# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
SRR35809155_ctg370	cds	29617	30267	-	EIDGLC_00022	194.0	2.7e-60	0.954	0.808	0.539	UniRef:UniRef50_T0HFN5
SRR35809155_ctg370	cds	30270	31271	-	EIDGLC_00023	411.0	1.5e-142	1.015	0.997	0.574	UniRef:UniRef50_A0A6I4K220
SRR35809155_ctg370	cds	31274	32170	-	EIDGLC_00024	387.0	9.2e-134	0.983	0.872	0.676	UniRef:UniRef50_A0A177GB74
SRR35809155_ctg370	cds	32239	33525	+	EIDGLC_00025	449.0	9.1e-155	0.956	0.965	0.562	UniRef:UniRef50_A0A6I6MPG3
SRR35809155_ctg370	cds	33483	34745	-	EIDGLC_00026	434.0	3.8e-148	0.993	0.885	0.566	UniRef:UniRef50_A9IMB2
SRR35809155_ctg370	cds	34742	35905	-	EIDGLC_00027	372.0	1.0e-125	0.953	0.992	0.593	UniRef:UniRef50_A0A9E0YSW6
SRR35809155_ctg370	cds	36075	37460	+	EIDGLC_00028	427.0	7.5e-145	0.959	0.908	0.570	UniRef:UniRef50_F4QLT1
SRR35809155_ctg370	cds	37463	38410	-	EIDGLC_00029	368.0	7.6e-126	0.994	0.897	0.620	UniRef:UniRef50_D9QNU8
SRR35809155_ctg370	cds	38410	40152	-	EIDGLC_00030	632.0	6.7e-222	0.953	0.942	0.637	UniRef:UniRef50_A0A1V1V0E3
SRR35809155_ctg370	cds	40555	41655	-	EIDGLC_00031	394.0	9.6e-135	0.926	0.894	0.617	UniRef:UniRef50_A0A5Q4G9A8
SRR35809155_ctg370	cds	41655	42245	-	EIDGLC_00032	197.0	1.8e-62	0.985	0.885	0.518	UniRef:UniRef50_A9WC30
SRR35809155_ctg370	cds	42238	43650	-	EIDGLC_00033	621.0	2.0e-220	0.991	0.908	0.674	UniRef:UniRef50_Q2IJC2
SRR35809155_ctg370	cds	43643	44611	-	EIDGLC_00034	380.0	4.7e-130	0.932	0.822	0.633	UniRef:UniRef50_I4VQU2
SRR35809155_ctg370	cds	44595	45821	-	EIDGLC_00035	534.0	1.1e-188	0.978	0.945	0.702	UniRef:UniRef50_A0A4Q6GMR7
SRR35809155_ctg370	cds	45818	46066	-	EIDGLC_00036	-	-	-	-	-	-
SRR35809155_ctg370	cds	46068	47771	-	EIDGLC_00037	623.0	3.2e-218	0.988	0.914	0.602	UniRef:UniRef50_H0PW82
SRR35809155_ctg370	cds	47817	48833	-	EIDGLC_00038	363.0	1.2e-122	0.962	0.815	0.545	UniRef:UniRef50_P9WKJ7
SRR35809155_ctg370	cds	48835	50577	-	EIDGLC_00039	588.0	1.9e-203	0.979	0.865	0.576	UniRef:UniRef50_A7NNA3
SRR35809155_ctg370	cds	50677	50829	-	EIDGLC_00040	-	-	-	-	-	-
SRR35809155_ctg370	cds	51046	52314	+	EIDGLC_00041	-	-	-	-	-	-
SRR35809155_ctg370	cds	52340	53335	+	EIDGLC_00042	429.0	2.0e-149	0.997	0.946	0.670	UniRef:UniRef50_A0A0T0PZ57
SRR35809155_ctg370	cds	53332	54318	+	EIDGLC_00043	365.0	1.5e-124	0.979	0.973	0.639	UniRef:UniRef50_V4NTW9
SRR35809155_ctg370	cds	54315	55160	+	EIDGLC_00044	340.0	1.9e-116	0.979	0.972	0.585	UniRef:UniRef50_A0A5P9GNU5
SRR35809155_ctg370	cds	55150	56403	+	EIDGLC_00045	-	-	-	-	-	-
SRR35809155_ctg370	cds	56502	57557	-	EIDGLC_00046	375.0	2.5e-127	0.912	0.833	0.725	UniRef:UniRef50_A0A0P0DKI1
SRR35809155_ctg370	cds	57635	58519	+	EIDGLC_00047	316.0	2.6e-106	0.986	0.942	0.614	UniRef:UniRef50_A0A2X1D4D4
SRR35809155_ctg370	cds	58631	59233	+	EIDGLC_00048	-	-	-	-	-	-
SRR35809155_ctg370	cds	59319	59456	-	EIDGLC_00049	48.9	2.5e-08	0.889	0.851	0.500	UniRef:UniRef50_A0A7I8BFQ3
SRR35809155_ctg370	cds	59477	60625	-	EIDGLC_00050	548.0	6.5e-195	0.987	0.920	0.711	UniRef:UniRef50_Q1M8G3
SRR35809155_ctg370	cds	60644	62224	-	EIDGLC_00051	641.0	1.9e-226	0.960	0.880	0.648	UniRef:UniRef50_P0ABJ9
SRR35809155_ctg370	cds	62345	63955	+	EIDGLC_00052	521.0	4.1e-179	0.983	0.912	0.594	UniRef:UniRef50_A0A494RG62
SRR35809155_ctg370	cds	63952	65616	+	EIDGLC_00053	508.0	6.4e-174	0.962	0.930	0.585	UniRef:UniRef50_A0A0Q5UY07
SRR35809155_ctg370	cds	65675	65794	+	EIDGLC_00054	-	-	-	-	-	-
SRR35809155_ctg370	cds	65820	66518	+	EIDGLC_00055	239.0	1.8e-77	1.004	0.815	0.639	UniRef:UniRef50_A6VWU1
SRR35809155_ctg370	cds	66593	67225	+	EIDGLC_00056	211.0	3.2e-67	0.938	0.857	0.538	UniRef:UniRef50_A0A7W9FTJ2
SRR35809155_ctg370	cds	67342	67980	+	EIDGLC_00057	210.0	6.0e-67	0.892	0.836	0.556	UniRef:UniRef50_A0A0Q8MV35
SRR35809155_ctg370	cds	68056	69516	+	EIDGLC_00058	510.0	6.3e-177	0.961	0.969	0.587	UniRef:UniRef50_A0A967GJN2
SRR35809155_ctg370	cds	69509	70108	+	EIDGLC_00059	196.0	1.5e-61	0.995	0.872	0.515	UniRef:UniRef50_P23221
SRR35809155_ctg370	cds	70189	70566	+	EIDGLC_00060	164.0	3.0e-51	0.992	0.844	0.661	UniRef:UniRef50_A0A0Q7TAJ2
SRR35809155_ctg370	cds	70629	71396	+	EIDGLC_00061	304.0	2.5e-102	0.996	0.870	0.594	UniRef:UniRef50_A0A0Q9YLA6
SRR35809155_ctg370	cds	71401	72021	-	EIDGLC_00062	322.0	6.4e-111	0.995	0.858	0.780	UniRef:UniRef50_A0A172Y4W7
SRR35809155_ctg370	cds	72138	72761	+	EIDGLC_00063	305.0	1.2e-104	1.0	0.904	0.792	UniRef:UniRef50_A0A521NFE9
SRR35809155_ctg370	cds	72752	73354	+	EIDGLC_00064	-	-	-	-	-	-
SRR35809155_ctg370	cds	73365	74126	-	EIDGLC_00065	301.0	1.7e-101	0.949	0.896	0.654	UniRef:UniRef50_A0A2T1HSR4
SRR35809155_ctg370	cds	74123	75718	-	EIDGLC_00066	685.0	8.3e-244	0.989	0.928	0.672	UniRef:UniRef50_D5VNB7
SRR35809155_ctg370	cds	75715	76353	-	EIDGLC_00067	-	-	-	-	-	-
SRR35809155_ctg370	cds	76353	77213	-	EIDGLC_00068	369.0	1.1e-127	1.0	0.993	0.699	UniRef:UniRef50_A0A172Y4W6
SRR35809155_ctg370	cds	77280	77789	-	EIDGLC_00069	253.0	2.8e-85	0.964	0.840	0.791	UniRef:UniRef50_A0A7W8HWD4
SRR35809155_ctg370	cds	77786	78163	-	EIDGLC_00070	147.0	7.1e-45	1.016	0.870	0.669	UniRef:UniRef50_A0A0Q7T013
SRR35809155_ctg370	cds	78273	79103	+	EIDGLC_00071	394.0	2.2e-137	1.0	0.945	0.736	UniRef:UniRef50_A0A1S6ESR4
SRR35809155_ctg370	cds	79115	79486	+	EIDGLC_00072	-	-	-	-	-	-
SRR35809155_ctg370	cds	79490	80074	+	EIDGLC_00073	199.0	2.4e-63	1.0	0.919	0.500	UniRef:UniRef50_A0AAJ6CZJ4
SRR35809155_ctg370	cds	80102	80635	-	EIDGLC_00074	-	-	-	-	-	-
SRR35809155_ctg370	cds	80650	80769	-	EIDGLC_00075	-	-	-	-	-	-
SRR35809155_ctg370	cds	80925	81617	-	EIDGLC_00076	314.0	2.9e-107	0.935	0.850	0.726	UniRef:UniRef50_A0A6P2BJT8
SRR35809155_ctg370	cds	81928	82437	+	EIDGLC_00077	-	-	-	-	-	-
SRR35809155_ctg370	cds	82580	83053	-	EIDGLC_00078	240.0	1.9e-80	0.962	0.868	0.781	UniRef:UniRef50_A0A0Q7TCC6
SRR35809155_ctg370	cds	83308	84039	+	EIDGLC_00079	-	-	-	-	-	-
SRR35809155_ctg370	cds	84050	84634	-	EIDGLC_00080	221.0	1.2e-71	0.923	0.836	0.676	UniRef:UniRef50_A0A0Q7T0X5
SRR35809155_ctg370	cds	84772	85236	+	EIDGLC_00081	238.0	5.0e-80	0.994	0.987	0.810	UniRef:UniRef50_A0A258HLD1
SRR35809155_ctg370	cds	85743	86126	+	EIDGLC_00082	139.0	1.8e-41	1.008	0.865	0.563	UniRef:UniRef50_B6JDL5
SRR35809155_ctg370	cds	86214	86996	+	EIDGLC_00083	279.0	9.4e-93	1.012	0.989	0.555	UniRef:UniRef50_A0A5B0VJU5
SRR35809155_ctg370	cds	86993	89377	+	EIDGLC_00084	747.0	1.8e-260	0.994	0.986	0.526	UniRef:UniRef50_A0A2U2BRE8
SRR35809155_ctg370	cds	89382	90596	+	EIDGLC_00085	320.0	3.2e-104	0.978	0.888	0.544	UniRef:UniRef50_A0A945GYS5
SRR35809155_ctg370	cds	90642	91541	-	EIDGLC_00086	-	-	-	-	-	-
SRR35809155_ctg370	cds	91738	92316	+	EIDGLC_00087	184.0	2.6e-57	0.938	0.807	0.511	UniRef:UniRef50_A7IF58
SRR35809155_ctg370	cds	92329	92628	-	EIDGLC_00088	-	-	-	-	-	-
SRR35809155_ctg370	cds	92701	93339	-	EIDGLC_00089	-	-	-	-	-	-
SRR35809155_ctg370	cds	93453	93662	+	EIDGLC_00090	-	-	-	-	-	-
SRR35809155_ctg370	cds	93659	94513	+	EIDGLC_00091	381.0	1.6e-132	0.986	0.989	0.714	UniRef:UniRef50_A0A258HL36
SRR35809155_ctg370	cds	94507	94788	-	EIDGLC_00092	-	-	-	-	-	-
SRR35809155_ctg370	cds	94947	95543	-	EIDGLC_00093	-	-	-	-	-	-
SRR35809155_ctg370	cds	95616	96251	-	EIDGLC_00094	-	-	-	-	-	-
SRR35809155_ctg370	cds	96344	97786	+	EIDGLC_00095	427.0	3.4e-144	0.963	0.920	0.535	UniRef:UniRef50_T0HJ79
SRR35809155_ctg370	cds	97814	98929	+	EIDGLC_00096	303.0	8.8e-99	0.962	0.884	0.552	UniRef:UniRef50_A0A157H2B0
SRR35809155_ctg370	cds	98941	100491	+	EIDGLC_00097	512.0	1.8e-176	0.977	0.930	0.520	UniRef:UniRef50_C3X2F7
SRR35809155_ctg370	cds	100766	100972	+	EIDGLC_00098	-	-	-	-	-	-
SRR35809155_ctg370	cds	100984	101613	+	EIDGLC_00099	-	-	-	-	-	-
SRR35809155_ctg370	cds	101610	102296	+	EIDGLC_00100	-	-	-	-	-	-
SRR35809155_ctg370	cds	102406	102993	+	EIDGLC_00101	-	-	-	-	-	-
SRR35809155_ctg370	cds	103091	103588	+	EIDGLC_00102	-	-	-	-	-	-
SRR35809155_ctg370	cds	103758	104051	+	EIDGLC_00103	-	-	-	-	-	-
SRR35809155_ctg370	cds	104077	104352	+	EIDGLC_00104	-	-	-	-	-	-
SRR35809155_ctg370	cds	105204	105605	-	EIDGLC_00105	-	-	-	-	-	-
SRR35809155_ctg370	cds	105703	106248	-	EIDGLC_00106	-	-	-	-	-	-
SRR35809155_ctg370	cds	106277	106495	-	EIDGLC_00107	-	-	-	-	-	-
SRR35809155_ctg370	cds	106492	106764	-	EIDGLC_00108	-	-	-	-	-	-
SRR35809155_ctg370	cds	106871	107935	+	EIDGLC_00109	-	-	-	-	-	-
SRR35809155_ctg370	cds	107932	108147	-	EIDGLC_00110	-	-	-	-	-	-
SRR35809155_ctg370	cds	108180	110099	-	EIDGLC_00111	-	-	-	-	-	-
SRR35809155_ctg370	cds	110096	110482	-	EIDGLC_00112	-	-	-	-	-	-
SRR35809155_ctg370	cds	110538	110705	+	EIDGLC_00113	-	-	-	-	-	-
SRR35809155_ctg370	cds	110691	113393	-	EIDGLC_00114	-	-	-	-	-	-
SRR35809155_ctg370	cds	113378	114520	-	EIDGLC_00115	-	-	-	-	-	-
SRR35809155_ctg370	cds	114593	115168	-	EIDGLC_00116	-	-	-	-	-	-
SRR35809155_ctg370	cds	115168	115473	-	EIDGLC_00117	-	-	-	-	-	-
SRR35809155_ctg370	cds	115490	115696	-	EIDGLC_00118	-	-	-	-	-	-
SRR35809155_ctg370	cds	115693	117156	-	EIDGLC_00119	-	-	-	-	-	-
SRR35809155_ctg370	cds	117159	117782	-	EIDGLC_00120	-	-	-	-	-	-
SRR35809155_ctg370	cds	117779	118363	-	EIDGLC_00121	-	-	-	-	-	-
SRR35809155_ctg370	cds	118360	118707	-	EIDGLC_00122	-	-	-	-	-	-
SRR35809155_ctg370	cds	118704	118946	-	EIDGLC_00123	-	-	-	-	-	-
SRR35809155_ctg370	cds	119008	119958	-	EIDGLC_00124	309.0	7.3e-103	1.016	0.994	0.576	UniRef:UniRef50_A0A522AS50
SRR35809155_ctg370	cds	119965	120948	-	EIDGLC_00125	-	-	-	-	-	-
SRR35809155_ctg370	cds	121002	121247	-	EIDGLC_00126	-	-	-	-	-	-
SRR35809155_ctg370	cds	121244	123412	-	EIDGLC_00127	-	-	-	-	-	-
SRR35809155_ctg370	cds	123412	123663	-	EIDGLC_00128	-	-	-	-	-	-
SRR35809155_ctg370	cds	123663	124940	-	EIDGLC_00129	514.0	1.1e-179	1.009	0.886	0.592	UniRef:UniRef50_A0A447CZU6
SRR35809155_ctg370	cds	124912	125382	-	EIDGLC_00130	-	-	-	-	-	-
SRR35809155_ctg370	cds	125447	125611	-	EIDGLC_00131	-	-	-	-	-	-
SRR35809155_ctg370	cds	125947	126528	-	EIDGLC_00132	-	-	-	-	-	-
SRR35809155_ctg370	cds	126522	126734	-	EIDGLC_00133	-	-	-	-	-	-
SRR35809155_ctg370	cds	127051	127755	-	EIDGLC_00134	-	-	-	-	-	-
SRR35809155_ctg370	cds	128293	128883	-	EIDGLC_00135	-	-	-	-	-	-
SRR35809155_ctg370	cds	128880	129251	-	EIDGLC_00136	-	-	-	-	-	-
SRR35809155_ctg370	cds	129248	129580	-	EIDGLC_00137	-	-	-	-	-	-
SRR35809155_ctg370	cds	129804	130016	-	EIDGLC_00138	-	-	-	-	-	-
SRR35809155_ctg370	cds	130013	130147	-	EIDGLC_00139	-	-	-	-	-	-
SRR35809155_ctg370	cds	130235	130603	-	EIDGLC_00140	-	-	-	-	-	-
SRR35809155_ctg370	cds	130624	131460	-	EIDGLC_00141	-	-	-	-	-	-
SRR35809155_ctg370	cds	131457	131639	-	EIDGLC_00142	-	-	-	-	-	-
SRR35809155_ctg370	cds	131722	132105	+	EIDGLC_00143	-	-	-	-	-	-
SRR35809155_ctg370	cds	132698	133471	+	EIDGLC_00144	-	-	-	-	-	-
SRR35809155_ctg370	cds	133471	133710	+	EIDGLC_00145	-	-	-	-	-	-
SRR35809155_ctg370	cds	133750	134121	+	EIDGLC_00146	-	-	-	-	-	-
SRR35809155_ctg370	cds	134118	134483	+	EIDGLC_00147	-	-	-	-	-	-
SRR35809155_ctg370	cds	134480	134740	+	EIDGLC_00148	-	-	-	-	-	-
SRR35809155_ctg370	cds	134737	134946	+	EIDGLC_00149	-	-	-	-	-	-
SRR35809155_ctg370	cds	134943	135155	+	EIDGLC_00150	-	-	-	-	-	-
SRR35809155_ctg370	cds	135406	136164	+	EIDGLC_00151	-	-	-	-	-	-
SRR35809155_ctg370	cds	136161	136796	+	EIDGLC_00152	273.0	5.2e-92	0.948	0.885	0.660	UniRef:UniRef50_A0A3N5VTK7
SRR35809155_ctg370	cds	136796	137317	+	EIDGLC_00153	225.0	1.9e-74	0.983	1.0	0.635	UniRef:UniRef50_Q1RK72
SRR35809155_ctg370	cds	137320	137826	+	EIDGLC_00154	-	-	-	-	-	-
SRR35809155_ctg370	cds	137823	138206	+	EIDGLC_00155	136.0	1.6e-40	0.929	0.843	0.576	UniRef:UniRef50_A0A2R4ME22
SRR35809155_ctg370	cds	138584	138874	+	EIDGLC_00156	-	-	-	-	-	-
SRR35809155_ctg370	cds	138936	139688	+	EIDGLC_00157	-	-	-	-	-	-
SRR35809155_ctg370	cds	139854	140297	+	EIDGLC_00158	-	-	-	-	-	-
SRR35809155_ctg370	cds	140294	140623	+	EIDGLC_00159	-	-	-	-	-	-
SRR35809155_ctg370	cds	140625	141101	+	EIDGLC_00160	-	-	-	-	-	-
SRR35809155_ctg370	cds	141106	141351	+	EIDGLC_00161	-	-	-	-	-	-
SRR35809155_ctg370	cds	141348	142340	+	EIDGLC_00162	-	-	-	-	-	-
SRR35809155_ctg370	cds	142337	142564	+	EIDGLC_00163	-	-	-	-	-	-
SRR35809155_ctg370	cds	142564	143379	+	EIDGLC_00164	-	-	-	-	-	-
SRR35809155_ctg370	cds	143376	143705	+	EIDGLC_00165	-	-	-	-	-	-
SRR35809155_ctg370	cds	143785	144378	+	EIDGLC_00166	-	-	-	-	-	-
SRR35809155_ctg370	cds	144452	145072	+	EIDGLC_00167	-	-	-	-	-	-
SRR35809155_ctg370	cds	145119	145361	+	EIDGLC_00168	95.9	9.9e-26	1.050	0.857	0.560	UniRef:UniRef50_A0A1N7PIQ9
SRR35809155_ctg370	cds	145358	146413	+	EIDGLC_00169	381.0	6.0e-130	0.960	0.908	0.561	UniRef:UniRef50_A0A3Q9IFJ1
SRR35809155_ctg370	tRNA	146442	146531	-	EIDGLC_00170	84.0	-	-	-	-	-
SRR35809155_ctg370	cds	146668	147318	+	EIDGLC_00171	298.0	3.7e-101	1.0	0.831	0.630	UniRef:UniRef50_Q8ZB94
SRR35809155_ctg370	cds	147321	147665	+	EIDGLC_00172	186.0	9.6e-61	0.991	0.911	0.788	UniRef:UniRef50_A0A0N0K1K1
SRR35809155_ctg370	cds	147662	149464	-	EIDGLC_00173	946.0	0.0	1.010	0.990	0.790	UniRef:UniRef50_A0A8E0N8H6
SRR35809155_ctg370	cds	149512	150021	-	EIDGLC_00174	180.0	2.0e-56	0.988	0.918	0.557	UniRef:UniRef50_A0A514C2Z4
SRR35809155_ctg370	cds	150036	150461	-	EIDGLC_00175	174.0	5.8e-55	0.993	0.966	0.664	UniRef:UniRef50_A0A0Q7E5H2
SRR35809155_ctg370	cds	150497	150967	-	EIDGLC_00176	-	-	-	-	-	-
SRR35809155_ctg370	cds	151087	151827	-	EIDGLC_00177	223.0	3.7e-71	0.959	0.925	0.530	UniRef:UniRef50_P22606
SRR35809155_ctg370	cds	151842	152447	-	EIDGLC_00178	193.0	1.2e-60	0.995	0.901	0.625	UniRef:UniRef50_A0A7Z9C6N4
SRR35809155_ctg370	cds	152444	153232	-	EIDGLC_00179	295.0	2.4e-98	0.996	0.850	0.598	UniRef:UniRef50_Q06172
SRR35809155_ctg370	cds	153249	153983	-	EIDGLC_00180	246.0	2.6e-80	1.029	0.996	0.554	UniRef:UniRef50_A0A522CTW5
SRR35809155_ctg370	cds	154160	154813	+	EIDGLC_00181	190.0	6.9e-59	1.078	1.0	0.714	UniRef:UniRef50_P0CG27
SRR35809155_ctg370	cds	154816	155898	+	EIDGLC_00182	399.0	2.1e-136	0.911	0.828	0.595	UniRef:UniRef50_A0A1B3NDX3
SRR35809155_ctg370	cds	155898	156446	+	EIDGLC_00183	201.0	1.4e-64	1.033	1.044	0.707	UniRef:UniRef50_A0A8E0KMX6
SRR35809155_ctg370	cds	156478	157416	+	EIDGLC_00184	-	-	-	-	-	-
SRR35809155_ctg370	cds	157490	157918	-	EIDGLC_00185	193.0	1.6e-62	1.007	0.905	0.699	UniRef:UniRef50_V4PGE0
SRR35809155_ctg370	cds	158072	158512	-	EIDGLC_00186	190.0	3.1e-61	1.0	0.924	0.705	UniRef:UniRef50_V4PGE0
SRR35809155_ctg370	cds	158674	159291	-	EIDGLC_00187	218.0	2.5e-70	0.907	0.805	0.548	UniRef:UniRef50_Q0BXB5
SRR35809155_ctg370	cds	159384	160793	+	EIDGLC_00188	527.0	1.7e-183	1.019	0.943	0.556	UniRef:UniRef50_V4RC25
SRR35809155_ctg370	cds	160885	161514	+	EIDGLC_00189	-	-	-	-	-	-
SRR35809155_ctg370	cds	161524	161733	-	EIDGLC_00190	-	-	-	-	-	-
SRR35809155_ctg370	cds	161746	162192	-	EIDGLC_00191	143.0	1.7e-42	1.081	1.0	0.575	UniRef:UniRef50_A0A399UD54
SRR35809155_ctg370	cds	162230	164017	-	EIDGLC_00192	751.0	2.3e-268	0.992	0.985	0.647	UniRef:UniRef50_A0A1I6TDH0
SRR35809155_ctg370	cds	164152	164574	+	EIDGLC_00193	214.0	1.1e-70	0.971	0.889	0.801	UniRef:UniRef50_P21297
SRR35809155_ctg370	cds	164534	164902	+	EIDGLC_00194	144.0	7.6e-44	0.992	0.890	0.562	UniRef:UniRef50_A0A949LQN3
SRR35809155_ctg370	cds	165116	165946	+	EIDGLC_00195	276.0	1.3e-90	0.993	0.878	0.675	UniRef:UniRef50_P18914
SRR35809155_ctg370	cds	166002	166679	-	EIDGLC_00196	-	-	-	-	-	-
SRR35809155_ctg370	cds	166775	166960	-	EIDGLC_00197	83.6	1.3e-21	1.0	0.968	0.820	UniRef:UniRef50_Q2RUP2
SRR35809155_ctg370	cds	167071	167646	+	EIDGLC_00198	-	-	-	-	-	-
SRR35809155_ctg370	cds	167643	168068	-	EIDGLC_00199	237.0	1.2e-79	1.0	0.806	0.823	UniRef:UniRef50_A0A1S8D6B2
SRR35809155_ctg370	cds	168065	169228	-	EIDGLC_00200	384.0	4.9e-130	0.951	0.900	0.543	UniRef:UniRef50_A0A2G2DXB3
SRR35809155_ctg370	cds	169266	170663	-	EIDGLC_00201	-	-	-	-	-	-
SRR35809155_ctg370	cds	170676	172085	-	EIDGLC_00202	414.0	2.8e-139	0.977	0.900	0.537	UniRef:UniRef50_A0A2D2AX74
SRR35809155_ctg370	tRNA	172146	172232	-	EIDGLC_00203	61.5	-	-	-	-	-
SRR35809155_ctg370	cds	172351	172602	-	EIDGLC_00204	111.0	7.4e-32	0.976	0.890	0.679	UniRef:UniRef50_A0A061QA04
SRR35809155_ctg370	cds	172678	173394	+	EIDGLC_00205	261.0	2.1e-86	0.882	0.817	0.657	UniRef:UniRef50_Q1MG80
SRR35809155_ctg370	cds	173391	175373	-	EIDGLC_00206	751.0	1.4e-265	0.958	0.890	0.633	UniRef:UniRef50_A0A941PQZ6
SRR35809155_ctg370	cds	175603	177240	+	EIDGLC_00207	610.0	4.8e-214	0.958	0.929	0.638	UniRef:UniRef50_A0A7Y8F566
SRR35809155_ctg370	cds	177365	179224	+	EIDGLC_00208	543.0	5.1e-184	1.105	0.924	0.525	UniRef:UniRef50_A0A1S6EQB0
SRR35809155_ctg370	cds	180921	182246	+	EIDGLC_00209	472.0	1.2e-162	0.980	0.878	0.576	UniRef:UniRef50_A0A1H0JF49
SRR35809155_ctg370	cds	182520	182795	+	EIDGLC_00210	130.0	2.6e-39	0.967	0.838	0.784	UniRef:UniRef50_A0A0Q7RI42
SRR35809155_ctg370	cds	182792	184774	-	EIDGLC_00211	724.0	1.7e-254	1.123	0.999	0.536	UniRef:UniRef50_A0A369W9G6
SRR35809155_ctg370	cds	184996	186489	+	EIDGLC_00212	636.0	4.1e-226	0.996	0.972	0.646	UniRef:UniRef50_A0A0N0K2S2
SRR35809155_ctg370	cds	186596	187087	+	EIDGLC_00213	203.0	9.7e-66	0.920	0.811	0.647	UniRef:UniRef50_Q87AJ9
SRR35809155_ctg370	cds	187137	187724	+	EIDGLC_00214	158.0	3.2e-47	1.108	1.054	0.509	UniRef:UniRef50_A0A0Q7RI38
SRR35809155_ctg370	cds	187918	188145	+	EIDGLC_00215	74.7	1.0e-17	0.947	0.934	0.577	UniRef:UniRef50_A0A0Q7E0Y2
SRR35809155_ctg370	tRNA	188277	188351	-	EIDGLC_00216	73.5	-	-	-	-	-
SRR35809155_ctg370	cds	188451	188633	+	EIDGLC_00217	76.6	9.7e-19	1.0	0.800	0.717	UniRef:UniRef50_A0A948UVD0
SRR35809155_ctg370	cds	188733	190022	+	EIDGLC_00218	475.0	2.8e-164	0.998	0.918	0.614	UniRef:UniRef50_Q986Q6
SRR35809155_ctg370	cds	190012	190488	+	EIDGLC_00219	219.0	3.7e-72	0.975	0.865	0.708	UniRef:UniRef50_A0A8E0NDM6
SRR35809155_ctg370	cds	190485	190949	+	EIDGLC_00220	173.0	5.9e-54	1.0	0.856	0.552	UniRef:UniRef50_Q2GC31
