#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
SRR35809155_ctg370	92701	93339	-	EIDGLC_00089	22.6	7.0	PF08240.17|ADH_N	PFAM:PF08240.17
SRR35809155_ctg370	93453	93662	+	EIDGLC_00090	7.3	9.9		
SRR35809155_ctg370	94507	94788	-	EIDGLC_00092	9.9	8.0		
SRR35809155_ctg370	94947	95543	-	EIDGLC_00093	22.1	5.6	PF00440.29|TetR_N, PF14246.11|TetR_C_7	PFAM:PF00440.29, PFAM:PF14246.11
SRR35809155_ctg370	95616	96251	-	EIDGLC_00094	23.4	5.4	PF00440.29|TetR_N, PF14246.11|TetR_C_7	PFAM:PF00440.29, PFAM:PF14246.11
SRR35809155_ctg370	100766	100972	+	EIDGLC_00098	7.3	8.5		
SRR35809155_ctg370	100984	101613	+	EIDGLC_00099	22.7	6.1	PF02798.26|GST_N, PF13409.12|GST_N_2, PF13417.12|GST_N_3	PFAM:PF02798.26, PFAM:PF13409.12, PFAM:PF13417.12
SRR35809155_ctg370	101610	102296	+	EIDGLC_00100	24.3	11.3	PF00440.29|TetR_N, PF17920.6|TetR_C_16	PFAM:PF00440.29, PFAM:PF17920.6
SRR35809155_ctg370	102406	102993	+	EIDGLC_00101	20.6	4.1	PF13505.12|OMP_b-brl	PFAM:PF13505.12
SRR35809155_ctg370	103091	103588	+	EIDGLC_00102	18.0	7.9		
SRR35809155_ctg370	103758	104051	+	EIDGLC_00103	11.0	9.7	PF10544.15|T5orf172	PFAM:PF10544.15
SRR35809155_ctg370	104077	104352	+	EIDGLC_00104	10.2	8.0		
SRR35809155_ctg370	105204	105605	-	EIDGLC_00105	14.4	5.7		
SRR35809155_ctg370	105703	106248	-	EIDGLC_00106	20.0	9.2	PF05838.17|Glyco_hydro_108, PF09374.15|PG_binding_3	PFAM:PF05838.17, PFAM:PF09374.15
SRR35809155_ctg370	106277	106495	-	EIDGLC_00107	7.6	8.1		
SRR35809155_ctg370	106492	106764	-	EIDGLC_00108	9.8	10.1		
SRR35809155_ctg370	106871	107935	+	EIDGLC_00109	38.5	9.9		
SRR35809155_ctg370	107932	108147	-	EIDGLC_00110	7.6	8.3		
SRR35809155_ctg370	108180	110099	-	EIDGLC_00111	64.7	6.0		
SRR35809155_ctg370	110096	110482	-	EIDGLC_00112	13.6	4.1		
SRR35809155_ctg370	110538	110705	+	EIDGLC_00113	6.4	8.3		
SRR35809155_ctg370	110691	113393	-	EIDGLC_00114	93.1	5.5		
SRR35809155_ctg370	113378	114520	-	EIDGLC_00115	39.8	5.9		
SRR35809155_ctg370	114593	115168	-	EIDGLC_00116	20.5	8.8		
SRR35809155_ctg370	115168	115473	-	EIDGLC_00117	11.2	7.0		
SRR35809155_ctg370	115490	115696	-	EIDGLC_00118	7.7	8.2		
SRR35809155_ctg370	115693	117156	-	EIDGLC_00119	53.0	4.6		
SRR35809155_ctg370	117159	117782	-	EIDGLC_00120	20.8	4.6		
SRR35809155_ctg370	117779	118363	-	EIDGLC_00121	21.2	4.9		
SRR35809155_ctg370	118360	118707	-	EIDGLC_00122	13.0	5.9		
SRR35809155_ctg370	118704	118946	-	EIDGLC_00123	8.7	5.0		
SRR35809155_ctg370	119965	120948	-	EIDGLC_00125	35.4	4.5		
SRR35809155_ctg370	121002	121247	-	EIDGLC_00126	8.3	4.8		
SRR35809155_ctg370	121244	123412	-	EIDGLC_00127	79.9	4.9		
SRR35809155_ctg370	123412	123663	-	EIDGLC_00128	8.7	4.1		
SRR35809155_ctg370	124912	125382	-	EIDGLC_00130	17.7	5.6		
SRR35809155_ctg370	125447	125611	-	EIDGLC_00131	5.6	4.3		
SRR35809155_ctg370	125947	126528	-	EIDGLC_00132	21.6	9.0	PF02357.24|NusG	PFAM:PF02357.24
SRR35809155_ctg370	126522	126734	-	EIDGLC_00133	7.6	4.7		
SRR35809155_ctg370	127051	127755	-	EIDGLC_00134	26.1	6.5		
SRR35809155_ctg370	128293	128883	-	EIDGLC_00135	21.6	10.0	PF08299.17|Bac_DnaA_C	PFAM:PF08299.17
SRR35809155_ctg370	128880	129251	-	EIDGLC_00136	13.1	9.7		
SRR35809155_ctg370	129248	129580	-	EIDGLC_00137	12.2	8.2	PF01726.22|LexA_DNA_bind	PFAM:PF01726.22
SRR35809155_ctg370	129804	130016	-	EIDGLC_00138	7.9	9.5		
SRR35809155_ctg370	130013	130147	-	EIDGLC_00139	4.7	9.4		
SRR35809155_ctg370	130235	130603	-	EIDGLC_00140	14.0	8.1		
SRR35809155_ctg370	130624	131460	-	EIDGLC_00141	30.5	11.2		
SRR35809155_ctg370	131457	131639	-	EIDGLC_00142	6.3	9.4		
SRR35809155_ctg370	131722	132105	+	EIDGLC_00143	14.6	9.4		
SRR35809155_ctg370	132698	133471	+	EIDGLC_00144	27.0	5.4	PF00805.28|Pentapeptide, PF13576.12|Pentapeptide_3, PF13599.12|Pentapeptide_4	PFAM:PF00805.28, PFAM:PF13576.12, PFAM:PF13599.12
SRR35809155_ctg370	133471	133710	+	EIDGLC_00145	8.9	5.1		
SRR35809155_ctg370	133750	134121	+	EIDGLC_00146	13.4	4.7		
SRR35809155_ctg370	134118	134483	+	EIDGLC_00147	13.1	4.4		
SRR35809155_ctg370	134480	134740	+	EIDGLC_00148	9.2	5.7		
SRR35809155_ctg370	134737	134946	+	EIDGLC_00149	7.5	11.0		
SRR35809155_ctg370	134943	135155	+	EIDGLC_00150	7.8	6.0		
SRR35809155_ctg370	135406	136164	+	EIDGLC_00151	26.7	7.0		
SRR35809155_ctg370	137320	137826	+	EIDGLC_00154	17.9	7.0		
SRR35809155_ctg370	138584	138874	+	EIDGLC_00156	10.5	4.2		
SRR35809155_ctg370	138936	139688	+	EIDGLC_00157	26.8	6.5	PF05175.20|MTS	PFAM:PF05175.20
SRR35809155_ctg370	139854	140297	+	EIDGLC_00158	15.7	5.3		
SRR35809155_ctg370	140294	140623	+	EIDGLC_00159	11.8	6.4		
SRR35809155_ctg370	140625	141101	+	EIDGLC_00160	16.7	8.4		
SRR35809155_ctg370	141106	141351	+	EIDGLC_00161	9.3	10.5		
SRR35809155_ctg370	141348	142340	+	EIDGLC_00162	34.6	4.8		
SRR35809155_ctg370	142337	142564	+	EIDGLC_00163	8.2	6.4		
SRR35809155_ctg370	142564	143379	+	EIDGLC_00164	30.2	6.0		
SRR35809155_ctg370	143376	143705	+	EIDGLC_00165	11.9	5.4		
SRR35809155_ctg370	143785	144378	+	EIDGLC_00166	21.7	5.0		
SRR35809155_ctg370	144452	145072	+	EIDGLC_00167	22.2	7.1		
SRR35809155_ctg370	150036	150461	-	EIDGLC_00175	14.6	6.1		SO:0001217, UniRef:UniRef50_A0A0Q7E5H2
SRR35809155_ctg370	150497	150967	-	EIDGLC_00176	16.6	6.1		
SRR35809155_ctg370	156478	157416	+	EIDGLC_00184	31.5	10.0	PF03448.22|MgtE_N	PFAM:PF03448.22
SRR35809155_ctg370	160885	161514	+	EIDGLC_00189	22.6	5.2		
SRR35809155_ctg370	161524	161733	-	EIDGLC_00190	7.7	4.7		
SRR35809155_ctg370	166002	166679	-	EIDGLC_00196	24.8	6.6		
SRR35809155_ctg370	167071	167646	+	EIDGLC_00198	20.6	7.0		
SRR35809155_ctg370	169266	170663	-	EIDGLC_00201	48.4	4.4	PF00959.24|Phage_lysozyme	PFAM:PF00959.24
SRR35809155_ctg370	188451	188633	+	EIDGLC_00217	6.4	11.8		SO:0001217, UniRef:UniRef50_A0A948UVD0
SRR35809155_ctg370	192884	193054	+	EIDGLC_00224	6.3	4.6	PF03884.20|YacG	PFAM:PF03884.20
SRR35809155_ctg370	194013	194915	+	EIDGLC_00227	30.7	5.2		
SRR35809155_ctg370	200246	200614	+	EIDGLC_00234	12.8	5.6	PF03992.22|ABM	PFAM:PF03992.22
SRR35809155_ctg370	211603	212520	-	EIDGLC_00245	32.0	9.2	PF08032.17|SpoU_sub_bind	PFAM:PF08032.17
SRR35809155_ctg370	214239	214775	+	EIDGLC_00249	19.9	6.5		
SRR35809155_ctg370	215932	216102	-	EIDGLC_00251	5.9	5.3		SO:0001217, UniRef:UniRef50_A0A0Q7EFY1
SRR35809155_ctg370	219512	220399	+	EIDGLC_00255	29.1	4.8	PF10988.14|DUF2807	PFAM:PF10988.14
SRR35809155_ctg370	229543	229740	+	EIDGLC_00275	7.2	10.5	PF00327.25|Ribosomal_L30	PFAM:PF00327.25
SRR35809155_ctg370	229958	230551	+	EIDGLC_00276	20.8	11.0	PF00828.25|Ribosomal_L27A	PFAM:PF00828.25
SRR35809155_ctg370	232694	233407	+	EIDGLC_00279	24.4	11.2		
SRR35809155_ctg370	239102	239566	+	EIDGLC_00286	17.0	5.4	PF13508.13|Acetyltransf_7, PF13673.13|Acetyltransf_10	PFAM:PF13508.13, PFAM:PF13673.13
SRR35809155_ctg370	239823	240236	+	EIDGLC_00287	15.2	4.5		
SRR35809155_ctg370	247201	247647	+	EIDGLC_00295	16.5	6.7		
SRR35809155_ctg370	247644	248087	+	EIDGLC_00296	16.4	7.8		
SRR35809155_ctg370	258576	260009	-	EIDGLC_00310	52.3	5.7		
SRR35809155_ctg370	260268	260591	+	EIDGLC_00311	12.0	11.0		
SRR35809155_ctg370	261406	261891	+	EIDGLC_00312	16.7	5.3		
SRR35809155_ctg370	263067	263825	+	EIDGLC_00315	26.0	5.3	PF00106.31|adh_short, PF13561.12|adh_short_C2	PFAM:PF00106.31, PFAM:PF13561.12
SRR35809155_ctg370	280585	281070	-	EIDGLC_00331	16.9	7.7	PF00034.26|Cytochrom_C	PFAM:PF00034.26
SRR35809155_ctg370	281218	281526	+	EIDGLC_00332	11.2	5.4	PF04023.20|FeoA	PFAM:PF04023.20
SRR35809155_ctg370	283729	284250	-	EIDGLC_00335	17.7	11.4		
SRR35809155_ctg370	285180	286778	-	EIDGLC_00337	55.0	5.5	PF20308.4|TPR-S	PFAM:PF20308.4
SRR35809155_ctg370	286778	287425	-	EIDGLC_00338	24.1	6.6		
SRR35809155_ctg370	287422	289011	-	EIDGLC_00339	58.9	6.5	PF08937.16|ThsB_TIR, PF13676.11|TIR_2	PFAM:PF08937.16, PFAM:PF13676.11
SRR35809155_ctg370	289173	290021	+	EIDGLC_00340	31.8	5.4		
SRR35809155_ctg370	290118	290699	+	EIDGLC_00341	21.0	8.0		
SRR35809155_ctg370	338096	339427	+	EIDGLC_00372	46.1	9.3		
SRR35809155_ctg370	349785	350819	-	EIDGLC_00379	34.9	9.7	PF13533.12|Biotin_lipoyl_2, PF16576.10|HlyD_D23	PFAM:PF13533.12, PFAM:PF16576.10
SRR35809155_ctg370	355056	355238	-	EIDGLC_00385	6.6	5.0		
SRR35809155_ctg370	356595	357074	-	EIDGLC_00387	17.7	5.3	PF12680.13|SnoaL_2	PFAM:PF12680.13
SRR35809155_ctg370	360643	360741	+	EIDGLC_00393	3.3	10.7		
SRR35809155_ctg370	369437	369706	-	EIDGLC_00402	9.4	8.0	PF01381.28|HTH_3	PFAM:PF01381.28
SRR35809155_ctg370	387349	387939	+	EIDGLC_00422	20.9	7.1		
SRR35809155_ctg370	393772	394749	-	EIDGLC_00429	35.3	5.7	PF01436.27|NHL, PF07494.17|Reg_prop, PF08450.18|SGL, PF24684.1|Vgb_lyase	PFAM:PF01436.27, PFAM:PF07494.17, PFAM:PF08450.18, PFAM:PF24684.1
SRR35809155_ctg370	395232	395648	+	EIDGLC_00431	15.2	5.3		SO:0001217, UniRef:UniRef50_D9QLF9
SRR35809155_ctg370	398417	398836	+	EIDGLC_00437	14.4	4.8		
SRR35809155_ctg370	399842	400609	+	EIDGLC_00439	26.8	5.4	PF09976.15|TPR_21	PFAM:PF09976.15
SRR35809155_ctg370	404962	405378	+	EIDGLC_00443	14.0	10.8		
SRR35809155_ctg370	415191	417398	-	EIDGLC_00454	80.4	9.3	PF00270.35|DEAD, PF00271.37|Helicase_C, PF03880.21|DbpA	PFAM:PF00270.35, PFAM:PF00271.37, PFAM:PF03880.21
SRR35809155_ctg370	423663	424415	-	EIDGLC_00459	28.2	11.3		
SRR35809155_ctg370	424779	425576	-	EIDGLC_00460	29.2	5.7	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
SRR35809155_ctg370	426031	426498	+	EIDGLC_00461	17.4	4.8	PF13474.12|SnoaL_3, PF14534.12|DUF4440	PFAM:PF13474.12, PFAM:PF14534.12
SRR35809155_ctg370	426601	428199	-	EIDGLC_00462	57.8	8.5	PF13181.12|TPR_8, PF13428.12|TPR_14, PF13432.12|TPR_16, PF13759.12|2OG-FeII_Oxy_5, PF14559.12|TPR_19	PFAM:PF13181.12, PFAM:PF13428.12, PFAM:PF13432.12, PFAM:PF13759.12, PFAM:PF14559.12
SRR35809155_ctg370	431670	432473	+	EIDGLC_00464	28.3	8.6		
SRR35809155_ctg370	433324	433770	-	EIDGLC_00466	16.1	4.9	PF12973.13|Cupin_7	PFAM:PF12973.13
SRR35809155_ctg370	434410	434799	-	EIDGLC_00468	13.7	11.2		
SRR35809155_ctg370	434793	435236	-	EIDGLC_00469	16.1	5.6	PF00293.34|NUDIX	PFAM:PF00293.34
SRR35809155_ctg370	435233	435922	-	EIDGLC_00470	24.0	11.0	PF07298.16|NnrU	PFAM:PF07298.16
SRR35809155_ctg370	436055	436558	-	EIDGLC_00471	17.8	9.8		
SRR35809155_ctg370	436621	437226	-	EIDGLC_00472	22.1	9.5	PF00440.29|TetR_N	PFAM:PF00440.29
SRR35809155_ctg370	437328	437744	+	EIDGLC_00473	15.5	5.3	PF12680.13|SnoaL_2	PFAM:PF12680.13
SRR35809155_ctg370	437767	437934	-	EIDGLC_00474	5.9	6.7		
SRR35809155_ctg370	438005	439774	-	EIDGLC_00475	62.0	8.3	PF00072.30|Response_reg, PF00512.31|HisKA, PF02518.31|HATPase_c	PFAM:PF00072.30, PFAM:PF00512.31, PFAM:PF02518.31
SRR35809155_ctg370	441130	442176	+	EIDGLC_00477	37.1	11.5		
SRR35809155_ctg370	443153	443551	-	EIDGLC_00479	14.6	11.1		SO:0001217, UniRef:UniRef50_A0A0N9IIR1
SRR35809155_ctg370	444500	444937	-	EIDGLC_00480	16.2	6.3		SO:0001217, UniRef:UniRef50_A0A534GIU7
SRR35809155_ctg370	444934	445137	-	EIDGLC_00481	7.5	5.5		
SRR35809155_ctg370	446859	447065	-	EIDGLC_00483	7.6	6.6		
SRR35809155_ctg370	448824	449015	-	EIDGLC_00485	7.5	5.8		
SRR35809155_ctg370	449065	450444	-	EIDGLC_00486	47.4	5.4		
SRR35809155_ctg370	454598	455164	-	EIDGLC_00491	19.7	5.7	PF00440.29|TetR_N	PFAM:PF00440.29
SRR35809155_ctg370	456349	457194	+	EIDGLC_00493	30.2	5.8	PF08241.18|Methyltransf_11, PF08242.18|Methyltransf_12, PF13489.12|Methyltransf_23, PF13649.12|Methyltransf_25, PF13847.12|Methyltransf_31	PFAM:PF08241.18, PFAM:PF08242.18, PFAM:PF13489.12, PFAM:PF13649.12, PFAM:PF13847.12
SRR35809155_ctg370	457350	457793	+	EIDGLC_00494	16.2	6.7		
SRR35809155_ctg370	459385	459630	-	EIDGLC_00496	8.7	5.1		
SRR35809155_ctg370	463377	463562	+	EIDGLC_00501	6.8	10.9		
SRR35809155_ctg370	464120	464305	+	EIDGLC_00503	6.6	11.5		
SRR35809155_ctg370	467559	468137	-	EIDGLC_00508	20.0	8.1		
SRR35809155_ctg370	468162	468542	-	EIDGLC_00509	12.3	9.1		
SRR35809155_ctg370	468697	468798	-	EIDGLC_00510	3.6	6.7		
SRR35809155_ctg370	470376	472448	+	EIDGLC_00512	75.4	4.9	PF00593.30|TonB_dep_Rec_b-barrel, PF07715.20|Plug	PFAM:PF00593.30, PFAM:PF07715.20
SRR35809155_ctg370	472456	473877	+	EIDGLC_00513	50.6	10.0	PF12679.13|ABC2_membrane_2	PFAM:PF12679.13
SRR35809155_ctg370	473874	475319	+	EIDGLC_00514	52.1	9.8	PF12679.13|ABC2_membrane_2	PFAM:PF12679.13
SRR35809155_ctg370	476184	478199	+	EIDGLC_00516	72.5	4.9	PF00593.30|TonB_dep_Rec_b-barrel, PF07715.20|Plug	PFAM:PF00593.30, PFAM:PF07715.20
SRR35809155_ctg370	479433	480443	-	EIDGLC_00518	34.6	5.0	PF00400.38|WD40, PF12894.13|ANAPC4_WD40, PF23383.1|Beta-prop_IFT140_1st	PFAM:PF00400.38, PFAM:PF12894.13, PFAM:PF23383.1
SRR35809155_ctg370	480440	480934	-	EIDGLC_00519	17.6	8.3		
SRR35809155_ctg370	480944	483022	-	EIDGLC_00520	75.7	5.2	PF00593.30|TonB_dep_Rec_b-barrel, PF07715.20|Plug	PFAM:PF00593.30, PFAM:PF07715.20
SRR35809155_ctg370	483031	484629	-	EIDGLC_00521	57.0	9.8		
SRR35809155_ctg370	484626	485687	-	EIDGLC_00522	38.3	5.9	PF02492.25|cobW, PF07683.19|CobW_C	PFAM:PF02492.25, PFAM:PF07683.19
SRR35809155_ctg370	489398	489856	-	EIDGLC_00525	15.8	9.2		
SRR35809155_ctg370	491846	492577	+	EIDGLC_00528	26.1	5.2		
SRR35809155_ctg370	493449	493880	+	EIDGLC_00529	15.6	5.0	PF04940.18|BLUF	PFAM:PF04940.18
SRR35809155_ctg370	494266	494628	+	EIDGLC_00530	12.7	6.1		
SRR35809155_ctg370	494811	495176	+	EIDGLC_00531	13.5	10.9	PF08281.18|Sigma70_r4_2	PFAM:PF08281.18
SRR35809155_ctg370	495178	495480	+	EIDGLC_00532	10.4	10.1		
SRR35809155_ctg370	495544	496035	+	EIDGLC_00533	18.4	4.6	PF14534.12|DUF4440	PFAM:PF14534.12
SRR35809155_ctg370	496250	497815	-	EIDGLC_00534	58.0	5.4	PF00144.29|Beta-lactamase, PF13428.12|TPR_14	PFAM:PF00144.29, PFAM:PF13428.12
SRR35809155_ctg370	497907	499055	-	EIDGLC_00535	41.8	11.1	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
SRR35809155_ctg370	499351	500466	-	EIDGLC_00536	40.3	5.5	PF00144.29|Beta-lactamase	PFAM:PF00144.29
SRR35809155_ctg370	500996	501403	+	EIDGLC_00537	14.4	4.7	PF00072.30|Response_reg	PFAM:PF00072.30
SRR35809155_ctg370	511888	512370	+	EIDGLC_00545	16.9	8.8	PF09917.15|DUF2147	PFAM:PF09917.15
SRR35809155_ctg370	513691	514926	+	EIDGLC_00547	42.7	10.5	PF00364.28|Biotin_lipoyl, PF13533.12|Biotin_lipoyl_2, PF16576.10|HlyD_D23	PFAM:PF00364.28, PFAM:PF13533.12, PFAM:PF16576.10
SRR35809155_ctg370	518031	518846	+	EIDGLC_00549	28.4	6.8		
SRR35809155_ctg370	518843	520042	+	EIDGLC_00550	42.7	9.4		
SRR35809155_ctg370	533811	534407	-	EIDGLC_00560	21.4	5.7	PF08241.18|Methyltransf_11, PF08242.18|Methyltransf_12, PF13489.12|Methyltransf_23, PF13649.12|Methyltransf_25	PFAM:PF08241.18, PFAM:PF08242.18, PFAM:PF13489.12, PFAM:PF13649.12
SRR35809155_ctg370	534404	534877	-	EIDGLC_00561	16.6	8.5		
SRR35809155_ctg370	534937	535764	+	EIDGLC_00562	29.8	6.9	PF10544.15|T5orf172	PFAM:PF10544.15
SRR35809155_ctg370	535761	536948	+	EIDGLC_00563	41.8	5.1	PF00266.25|Aminotran_5	PFAM:PF00266.25
SRR35809155_ctg370	542248	544590	+	EIDGLC_00567	87.7	6.4	PF02518.31|HATPase_c, PF13589.12|HATPase_c_3	PFAM:PF02518.31, PFAM:PF13589.12
SRR35809155_ctg370	544587	546524	+	EIDGLC_00568	69.8	5.3		
SRR35809155_ctg370	559344	559463	-	EIDGLC_00576	4.3	9.7		
SRR35809155_ctg370	562960	563409	+	EIDGLC_00580	16.6	10.8		
SRR35809155_ctg370	566796	567026	+	EIDGLC_00584	7.7	4.4		
SRR35809155_ctg370	569685	570431	+	EIDGLC_00587	26.3	9.9		
SRR35809155_ctg370	571873	572556	+	EIDGLC_00589	25.8	9.7	PF04335.19|VirB8	PFAM:PF04335.19
SRR35809155_ctg370	576135	576338	+	EIDGLC_00595	7.2	6.1		
SRR35809155_ctg370	579816	580040	+	EIDGLC_00599	7.4	4.9		
SRR35809155_ctg370	581913	582059	-	EIDGLC_00601	5.3	6.8		
SRR35809155_ctg370	594157	595635	-	EIDGLC_00610	53.8	8.0	PF00512.31|HisKA, PF02518.31|HATPase_c	PFAM:PF00512.31, PFAM:PF02518.31
SRR35809155_ctg370	596442	599273	+	EIDGLC_00612	101.9	5.7	PF05193.26|Peptidase_M16_C	PFAM:PF05193.26
SRR35809155_ctg370	599652	600428	+	EIDGLC_00613	30.3	10.2		
SRR35809155_ctg370	600474	601160	+	EIDGLC_00614	25.8	6.9		
SRR35809155_ctg370	601400	601624	-	EIDGLC_00615	8.4	6.6		
SRR35809155_ctg370	616015	616257	-	EIDGLC_00628	9.1	9.1		
SRR35809155_ctg370	616806	617468	-	EIDGLC_00629	25.4	6.9		
SRR35809155_ctg370	626527	627069	-	EIDGLC_00636	18.9	4.3		
SRR35809155_ctg370	647707	649335	-	EIDGLC_00660	57.9	9.7	PF00270.35|DEAD, PF00271.37|Helicase_C	PFAM:PF00270.35, PFAM:PF00271.37
SRR35809155_ctg370	649978	651612	-	EIDGLC_00662	57.6	9.8	PF05569.17|Peptidase_M56	PFAM:PF05569.17
SRR35809155_ctg370	655410	655784	+	EIDGLC_00669	13.6	4.7	PF12680.13|SnoaL_2, PF14534.12|DUF4440	PFAM:PF12680.13, PFAM:PF14534.12
SRR35809155_ctg370	655781	656182	+	EIDGLC_00670	14.6	11.7		SO:0001217, UniRef:UniRef50_D9QHZ1
SRR35809155_ctg370	662825	663055	+	EIDGLC_00679	8.5	5.8		
SRR35809155_ctg370	682507	683088	+	EIDGLC_00699	20.6	5.8	PF03938.19|OmpH	PFAM:PF03938.19
SRR35809155_ctg370	694467	694907	+	EIDGLC_00710	16.3	9.3		
SRR35809155_ctg370	705443	705628	+	EIDGLC_00721	6.4	4.1		
SRR35809155_ctg370	707591	707788	+	EIDGLC_00723	7.5	5.2		
SRR35809155_ctg370	709395	710222	+	EIDGLC_00725	29.5	6.6	PF00486.34|Trans_reg_C	PFAM:PF00486.34
SRR35809155_ctg370	713882	714757	-	EIDGLC_00727	31.3	6.3	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
SRR35809155_ctg370	715039	715977	+	EIDGLC_00728	33.6	8.5	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
SRR35809155_ctg370	715994	716521	-	EIDGLC_00729	18.0	9.9		
SRR35809155_ctg370	716875	719013	+	EIDGLC_00730	76.4	6.0	PF00486.34|Trans_reg_C, PF00930.27|DPPIV_N, PF07676.18|PD40	PFAM:PF00486.34, PFAM:PF00930.27, PFAM:PF07676.18
SRR35809155_ctg370	723794	723904	+	EIDGLC_00733	3.7	11.1		
SRR35809155_ctg370	730160	730888	+	EIDGLC_00741	25.4	5.0	PF10099.14|RskA_C	PFAM:PF10099.14
SRR35809155_ctg370	731529	731732	-	EIDGLC_00743	7.0	4.3		SO:0001217, UniRef:UniRef50_A0A2X1BAC0
SRR35809155_ctg370	731777	731923	-	EIDGLC_00744	5.2	12.0		
SRR35809155_ctg370	731923	732177	-	EIDGLC_00745	9.3	4.6		
SRR35809155_ctg370	732296	733054	-	EIDGLC_00746	27.7	5.9	PF00027.35|cNMP_binding, PF13545.12|HTH_Crp_2	PFAM:PF00027.35, PFAM:PF13545.12
SRR35809155_ctg370	733051	733374	-	EIDGLC_00747	11.2	6.6		
SRR35809155_ctg370	736447	736581	+	EIDGLC_00750	4.7	11.7		
SRR35809155_ctg370	738512	738748	+	EIDGLC_00753	8.7	4.9		
SRR35809155_ctg370	743079	743279	-	EIDGLC_00757	7.4	8.1		
SRR35809155_ctg370	745283	745471	-	EIDGLC_00760	6.7	4.9		
SRR35809155_ctg370	745530	745757	-	EIDGLC_00761	8.4	4.5		
SRR35809155_ctg370	745835	746683	-	EIDGLC_00762	29.8	6.2	PF00561.26|Abhydrolase_1, PF00756.26|Esterase, PF12146.15|Hydrolase_4, PF12697.13|Abhydrolase_6	PFAM:PF00561.26, PFAM:PF00756.26, PFAM:PF12146.15, PFAM:PF12697.13
SRR35809155_ctg370	750548	750724	+	EIDGLC_00765	5.6	4.5		
SRR35809155_ctg370	760285	760602	+	EIDGLC_00778	11.8	5.0	PF22302.1|DUF6968	PFAM:PF22302.1
SRR35809155_ctg370	771503	771862	+	EIDGLC_00791	12.4	4.9	PF00885.24|DMRL_synthase	PFAM:PF00885.24
SRR35809155_ctg370	780419	780844	+	EIDGLC_00802	15.6	10.0		
SRR35809155_ctg370	781243	781494	-	EIDGLC_00805	8.9	10.8		
SRR35809155_ctg370	787264	787449	-	EIDGLC_00811	6.8	10.8		SO:0001217, UniRef:UniRef50_A0A975G2A2
SRR35809155_ctg370	788296	788703	-	EIDGLC_00813	14.7	9.4		SO:0001217, UniRef:UniRef50_A0A0C5XD04
SRR35809155_ctg370	789309	789887	-	EIDGLC_00815	19.4	5.7	PF00080.25|Sod_Cu	PFAM:PF00080.25
SRR35809155_ctg370	801969	802580	-	EIDGLC_00827	20.9	6.9		
SRR35809155_ctg370	820138	820440	-	EIDGLC_00843	10.7	5.4		
