ID	taxid	taxid2	length	name	nuctype	Htaxid	Hname	Vfamily	Hgroup	hosttype	seq_ids	<i>S</i><sub>G</sub> to Lepyrophagus	<i>S</i><sub>G</sub> to Eremotheras	<i>S</i><sub>G</sub> to Ammolykos	order
NC_021320	2847107	2847107-1	76134	Halorubrum tailed phage 5	dsDNA	1089759	Halorubrum sp. s5a-3	Hafunaviridae	Euryarchaeota	Prokaryote	NC_021320	0.0	0.0	0.0	11
NC_004927	2847106	2847106-1	75898	Halophage HF1	dsDNA	2254	Haloferax lucentense	Hafunaviridae	Euryarchaeota	Prokaryote	NC_004927	0.0	0.0	0.0	12
NC_062755	2877986	2877986-1	76821	Haloarcula virus HJTV-2	dsDNA	29282	Haloarcula japonica	Hafunaviridae	Euryarchaeota	Prokaryote	NC_062755	0.0037	0.0	0.0	13
NC_021321	2847109	2847109-1	74519	Halorubrum tailed phage 8	dsDNA	1089735	Halorubrum sp. B2-2	Hafunaviridae	Euryarchaeota	Prokaryote	NC_021321	0.0037	0.0	0.0	14
NC_062758	2877991	2877991-1	76759	Halorubrum tailed virus 10	dsDNA	1879286	Halorubrum sp.	Hafunaviridae	Euryarchaeota	Prokaryote	NC_062758	0.0	0.0	0.0	15
NC_062763	2878013	2878013-1	75181	Halorubrum sodomense tailed virus 4	dsDNA	35743	Halorubrum sodomense	Hafunaviridae	Euryarchaeota	Prokaryote	NC_062763	0.0	0.0	0.0	16
NC_042353	2684227	2684227-1	50672	Salinibacter phage SRUTV-1	dsDNA	146919	Salinibacter ruber	-	Rhodothermota	Prokaryote	NC_042353	0.0	0.0	0.0	17
NC_042352	2681614	2681614-1	51889	Salinibacter phage M31CR41-2	dsDNA	146919	Salinibacter ruber	-	Rhodothermota	Prokaryote	NC_042352	0.0	0.0	0.0034	18
NC_062757	2877990	2877990-1	42293	Haloarcula tailed virus 3	dsDNA	1542011	Haloarcula sp. SS8-5	Pyrstoviridae	Euryarchaeota	Prokaryote	NC_062757	0.0	0.0	0.0	19
NC_042350	2681615	2681615-1	35099	Salinibacter phage M8CR30-2	dsDNA	761659	Salinibacter ruber M8	-	Rhodothermota	Prokaryote	NC_042350	0.0091	0.0	0.0115	20
NC_042348	2681616	2681616-1	35883	Salinibacter phage M1EM-1	dsDNA	146919	Salinibacter ruber	-	Rhodothermota	Prokaryote	NC_042348	0.0154	0.0026	0.0072	21
NC_021340	1273751	1273751-1	52643	Haloarcula hispanica tailed virus 2	dsDNA	51589	Haloarcula hispanica	Saparoviridae	Euryarchaeota	Prokaryote	NC_021340	0.0277	0.0116	0.0	22
NC_021319	1273747	1273747-1	54291	Haloarcula californiae tailed virus 2	dsDNA	244363	Haloarcula californiae	Saparoviridae	Euryarchaeota	Prokaryote	NC_021319	0.0387	0.0396	0.0391	23
NC_021330	1273746	1273746-1	103257	Haloarcula californiae tailed virus 1	dsDNA	244363	Haloarcula californiae	Druskaviridae	Euryarchaeota	Prokaryote	NC_021330	0.0	0.0	0.0	24
NC_021327	1273748	1273748-1	102105	Halovirus HCTV-5	dsDNA	244363	Haloarcula californiae	Druskaviridae	Euryarchaeota	Prokaryote	NC_021327	0.0026	0.0	0.0	25
NC_020158	1262528	1262528-1	102319	Haloarcula vallismortis tailed virus 1	dsDNA	28442	Haloarcula vallismortis	Druskaviridae	Euryarchaeota	Prokaryote	NC_020158	0.0	0.0026	0.0	26
NC_074642	2856180	2856180-1	37078	Methanoculleus virus L4768	dsDNA	83986	Methanoculleus bourgensis	-	Euryarchaeota	Prokaryote	NC_074642	0.0139	0.0012	0.0	27
NC_025213	1500510	1500510-1	10021	Halovirus VNH-1	dsDNA	1406378	Nanohaloarchaea archaeon AB578-D14	-	Euryarchaeota	Prokaryote	NC_025213	0.0	0.0	0.0	28
NC_021537	754066	754066-1	39784	Halorubrum virus CGphi46	dsDNA	1879286	Halorubrum sp.	Graaviviridae	Euryarchaeota	Prokaryote	NC_021537	0.0171	0.0266	0.0048	29
NC_008695	416419	416419-1	42271	Archaeal BJ1 virus	dsDNA	2248	Halorubrum saccharovorum	Graaviviridae	Euryarchaeota	Prokaryote	NC_008695	0.0236	0.0179	0.0221	30
NC_021329	1273752	1273752-1	35722	Halorubrum tailed virus 4	dsDNA	1089759	Halorubrum sp. s5a-3	Haloferuviridae	Euryarchaeota	Prokaryote	NC_021329	0.0	0.0	0.0	31
NC_062762	2878010	2878010-1	36603	Halorubrum tailed virus 29	dsDNA	1879286	Halorubrum sp.	Haloferuviridae	Euryarchaeota	Prokaryote	NC_062762	0.0	0.0	0.0	32
NC_062761	2878009	2878009-1	35270	Halorubrum tailed virus 28	dsDNA	1879286	Halorubrum sp.	Suolaviridae	Euryarchaeota	Prokaryote	NC_062761	0.0063	0.0060	0.0036	33
NC_021471	1262530	1262530-1	32189	Haloarcula sinaiiensis tailed virus 1	dsDNA	35742	Haloarcula sinaiiensis	Shortaselviridae	Euryarchaeota	Prokaryote	NC_021471	0.0030	0.0	0.0	34
NC_054953	2847105	2847105-1	55145	Halobacterium phage ChaoS9	dsDNA	2242	Halobacterium salinarum	Vertoviridae	Euryarchaeota	Prokaryote	NC_054953	0.0293	0.0237	0.0167	35
NC_052650	169684	169684-1	58072	Halobacterium phage phiH	dsDNA	2242	Halobacterium salinarum	Vertoviridae	Euryarchaeota	Prokaryote	NC_052650	0.0131	0.0127	0.0163	36
NC_054954	114777	114777-2	58487	Natrialba phage PhiCh1	dsDNA	13769	Natrialba magadii	Vertoviridae	Euryarchaeota	Prokaryote	NC_054954	0.0158	0.0078	0.0063	37
NC_004084	114777	114777-1	58498	Natrialba phage PhiCh1	dsDNA	13769	Natrialba magadii	Vertoviridae	Euryarchaeota	Prokaryote	NC_004084	0.0157	0.0078	0.0063	38
NC_017983	1183239	1183239-1	43788	Salisaeta icosahedral phage 1	dsDNA	1089709	Salisaeta sp. SP9-1	-	Rhodothermota	Prokaryote	NC_017983	0.0	0.0	0.0	39
NC_048733	2315703	2315703-1	54473	Microbacterium phage Burro	dsDNA	199592	Microbacterium paraoxydans	-	Actinomycetota	Prokaryote	NC_048733	0.0162	0.0096	0.0037	40
NC_048860	2713257	2713257-1	53692	Microbacterium phage Arete	dsDNA	104336	Microbacterium foliorum	-	Actinomycetota	Prokaryote	NC_048860	0.0306	0.0251	0.0191	41
NC_048801	2590948	2590948-1	53981	Microbacterium phage Araxxi	dsDNA	104336	Microbacterium foliorum	-	Actinomycetota	Prokaryote	NC_048801	0.0438	0.0200	0.0160	42
NC_048777	2583039	2583039-1	53932	Microbacterium phage TinyTimothy	dsDNA	104336	Microbacterium foliorum	-	Actinomycetota	Prokaryote	NC_048777	0.0	0.0	0.0	43
NC_048778	2590877	2590877-1	54396	Microbacterium phage Alex44	dsDNA	104336	Microbacterium foliorum	-	Actinomycetota	Prokaryote	NC_048778	0.0047	0.0	0.0	44
NC_048877	2725606	2725606-1	54442	Microbacterium phage Phedro	dsDNA	104336	Microbacterium foliorum	-	Actinomycetota	Prokaryote	NC_048877	0.0	0.0	0.0	45
NC_048761	2565510	2565510-1	54307	Microbacterium phage Akoni	dsDNA	104336	Microbacterium foliorum	-	Actinomycetota	Prokaryote	NC_048761	0.0033	0.0	0.0	46
KF981876	1453337	1453337-1	95702	Mycobacterium phage ADLER F1725	dsDNA	1168066	Mycobacteroides abscessus subsp. bolletii F1725	-	Actinomycetota	Prokaryote	KF981876	0.0076	0.0	0.0	47
KC960489	1327959	1327959-1	95705	Mycobacterium phage Adler	dsDNA	319705	Mycobacteroides abscessus subsp. bolletii	-	Actinomycetota	Prokaryote	KC960489	0.0045	0.0	0.0	48
NC_073478	2968613	2968613-1	17827	Bifidobacterium phage BD811P2	dsDNA	1689	Bifidobacterium dentium	-	Actinomycetota	Prokaryote	NC_073478	0.0	0.0	0.0	49
NC_073467	2927268	2927268-1	16662	Microbacterium phage PineapplePizza	dsDNA	104336	Microbacterium foliorum	-	Actinomycetota	Prokaryote	NC_073467	0.0	0.0	0.0	50
NC_073477	2851069	2851069-1	17554	Curtobacterium phage Reje	dsDNA	2035	Curtobacterium flaccumfaciens	-	Actinomycetota	Prokaryote	NC_073477	0.0	0.0	0.0	51
NC_073476	2851068	2851068-1	18290	Curtobacterium phage Pize	dsDNA	1869344	Curtobacterium sp.	-	Actinomycetota	Prokaryote	NC_073476	0.0	0.0	0.0	52
NC_048740	2484218	2484218-1	19428	Arthrobacter phage Mendel	dsDNA	1665	Arthrobacter globiformis	-	Actinomycetota	Prokaryote	NC_048740	0.0011	0.0	0.0022	53
NC_048739	2484217	2484217-1	19679	Arthrobacter phage Anjali	dsDNA	1665	Arthrobacter globiformis	-	Actinomycetota	Prokaryote	NC_048739	0.0010	0.0048	0.0094	54
NC_071014	2338395	2338395-1	90743	Brevibacterium phage Cantare	dsDNA	47914	Brevibacterium fuscum	-	Actinomycetota	Prokaryote	NC_071014	0.0032	0.0	0.0	55
NC_030906	1647285	1647285-1	83324	Gordonia phage GMA6	dsDNA	410332	Gordonia malaquae	-	Actinomycetota	Prokaryote	NC_030906	0.0028	0.0	0.0	56
NC_071006	2871538	2871538-1	88657	Gordonia phage ChisanaKitsune	dsDNA	36822	Gordonia rubripertincta	-	Actinomycetota	Prokaryote	NC_071006	0.0050	0.0041	0.0014	57
NC_071005	2656530	2656530-1	91072	Gordonia phage Chidiebere	dsDNA	36822	Gordonia rubripertincta	-	Actinomycetota	Prokaryote	NC_071005	0.0038	0.0027	0.0	58
NC_049442	2315608	2315608-1	71020	Arthrobacter phage KBurrousTX	dsDNA	1771959	Arthrobacter sp. ATCC 21022	-	Actinomycetota	Prokaryote	NC_049442	0.0	0.0033	0.0	59
NC_049489	2686080	2686080-1	69061	Arthrobacter phage DrYang	dsDNA	1771959	Arthrobacter sp. ATCC 21022	-	Actinomycetota	Prokaryote	NC_049489	0.0	0.0033	0.0	60
NC_026606	1566993	1566993-1	71200	Arthrobacter phage vB_ArtM-ArV1	dsDNA	1667	Arthrobacter sp.	-	Actinomycetota	Prokaryote	NC_026606	0.0066	0.0034	0.0	61
NC_042000	2015834	2015834-1	70707	Arthrobacter phage Colucci	dsDNA	1771959	Arthrobacter sp. ATCC 21022	-	Actinomycetota	Prokaryote	NC_042000	0.0063	0.0034	0.0	62
NC_042053	1772328	1772328-1	70265	Arthrobacter phage PrincessTrina	dsDNA	1771959	Arthrobacter sp. ATCC 21022	-	Actinomycetota	Prokaryote	NC_042053	0.0	0.0032	0.0	63
NC_049471	2599828	2599828-1	68762	Arthrobacter phage Lymara	dsDNA	1771959	Arthrobacter sp. ATCC 21022	-	Actinomycetota	Prokaryote	NC_049471	0.0	0.0033	0.0	64
NC_049465	2593333	2593333-1	48201	Arthrobacter phage Vibaki	dsDNA	1665	Arthrobacter globiformis	-	Actinomycetota	Prokaryote	NC_049465	0.0092	0.0206	0.0084	65
NC_049498	2713256	2713256-1	46623	Arthrobacter phage Abba	dsDNA	1665	Arthrobacter globiformis	-	Actinomycetota	Prokaryote	NC_049498	0.0065	0.0065	0.0035	66
NC_042014	2024282	2024282-1	49808	Arthrobacter phage Piccoletto	dsDNA	1771959	Arthrobacter sp. ATCC 21022	-	Actinomycetota	Prokaryote	NC_042014	0.0042	0.0	0.0	67
NC_041999	2015815	2015815-1	49797	Arthrobacter phage Beans	dsDNA	1771959	Arthrobacter sp. ATCC 21022	-	Actinomycetota	Prokaryote	NC_041999	0.0084	0.0026	0.0	68
NC_041931	1772327	1772327-1	49419	Arthrobacter phage Jawnski	dsDNA	1771959	Arthrobacter sp. ATCC 21022	-	Actinomycetota	Prokaryote	NC_041931	0.0043	0.0	0.0	69
NC_041930	1701798	1701798-1	49879	Arthrobacter phage Brent	dsDNA	1771959	Arthrobacter sp. ATCC 21022	-	Actinomycetota	Prokaryote	NC_041930	0.0022	0.0015	0.0	70
NC_031252	1796994	1796994-1	51290	Arthrobacter phage BarretLemon	dsDNA	1771959	Arthrobacter sp. ATCC 21022	-	Actinomycetota	Prokaryote	NC_031252	0.0	0.0	0.0	71
NC_041932	1772307	1772307-1	51027	Arthrobacter phage Martha	dsDNA	1771959	Arthrobacter sp. ATCC 21022	-	Actinomycetota	Prokaryote	NC_041932	0.0	0.0	0.0	72
NC_049468	2603257	2603257-1	50782	Arthrobacter phage Zartrosa	dsDNA	1771959	Arthrobacter sp. ATCC 21022	-	Actinomycetota	Prokaryote	NC_049468	0.0	0.0	0.0	73
NC_041933	1772315	1772315-1	50909	Arthrobacter phage Sonny	dsDNA	1771959	Arthrobacter sp. ATCC 21022	-	Actinomycetota	Prokaryote	NC_041933	0.0	0.0	0.0	74
NC_042015	2024283	2024283-1	50930	Arthrobacter phage Shade	dsDNA	1771959	Arthrobacter sp. ATCC 21022	-	Actinomycetota	Prokaryote	NC_042015	0.0035	0.0	0.0	75
NC_009816	384848	384848-1	70579	Corynebacterium phage P1201	dsDNA	1718	Corynebacterium glutamicum	Zierdtviridae	Actinomycetota	Prokaryote	NC_009816	0.0026	0.0	0.0	76
NC_042086	2047869	2047869-1	67743	Corynebacterium phage Darwin	dsDNA	38305	Corynebacterium vitaeruminis	Zierdtviridae	Actinomycetota	Prokaryote	NC_042086	0.0015	0.0	0.0	77
NC_042087	2047871	2047871-1	66392	Corynebacterium phage Zion	dsDNA	38305	Corynebacterium vitaeruminis	Zierdtviridae	Actinomycetota	Prokaryote	NC_042087	0.0015	0.0	0.0	78
NC_055807	2588503	2588503-1	67086	Corynebacterium phage Stickynote	dsDNA	38305	Corynebacterium vitaeruminis	Zierdtviridae	Actinomycetota	Prokaryote	NC_055807	0.0015	0.0	0.0	79
NC_055772	2483719	2483719-1	66915	Corynebacterium phage Kimchi1738	dsDNA	38305	Corynebacterium vitaeruminis	Zierdtviridae	Actinomycetota	Prokaryote	NC_055772	0.0	0.0	0.0	80
NC_042085	2047868	2047868-1	67383	Corynebacterium phage C3PO	dsDNA	38305	Corynebacterium vitaeruminis	Zierdtviridae	Actinomycetota	Prokaryote	NC_042085	0.0025	0.0	0.0	81
NC_073456	1887657	1887657-1	69165	Rhodococcus phage ChewyVIII	dsDNA	1833	Rhodococcus erythropolis	Zierdtviridae	Actinomycetota	Prokaryote	NC_073456	0.0087	0.0064	0.0	82
NC_055758	2283246	2283246-1	64105	Gordonia phage Pleakley	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055758	0.0309	0.0089	0.0101	83
NC_055764	2301559	2301559-1	67359	Gordonia phage Skysand	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055764	0.0288	0.0154	0.0230	84
NC_055732	2041515	2041515-1	66251	Gordonia phage Patio	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055732	0.0354	0.0192	0.0182	85
NC_055806	2588505	2588505-1	67311	Gordonia Phage Lollipop1437	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055806	0.0403	0.0158	0.0273	86
NC_055769	2315610	2315610-1	66808	Gordonia phage Turuncu	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055769	0.0374	0.0071	0.0012	87
NC_016435	1109710	1109710-1	65766	Gordonia phage GRU1	dsDNA	36822	Gordonia rubripertincta	Zierdtviridae	Actinomycetota	Prokaryote	NC_016435	0.0386	0.0224	0.0246	88
NC_016434	319522	319522-1	65839	Gordonia phage GTE5	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_016434	0.0187	0.0177	0.0139	89
NC_055738	2079415	2079415-1	67527	Gordonia phage Flapper	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055738	0.0199	0.0098	0.0143	90
NC_055770	2315529	2315529-1	68626	Gordonia phage Buggaboo	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055770	0.0404	0.0167	0.0129	91
NC_055788	2507863	2507863-1	67662	Gordonia phage NosilaM	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055788	0.0267	0.0153	0.0081	92
NC_055731	2041511	2041511-1	65869	Gordonia phage Kabluna	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055731	0.0340	0.0127	0.0063	93
NC_055789	2510506	2510506-1	65218	Gordonia phage IDyn	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055789	0.0376	0.0250	0.0198	94
NC_055820	2653747	2653747-1	66184	Gordonia phage Sukkupi	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055820	0.0492	0.0283	0.0051	95
NC_055821	2652882	2652882-1	64714	Gordonia phage NadineRae	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055821	0.0389	0.0247	0.0134	96
NC_055763	2301558	2301558-1	64370	Gordonia phage Marietta	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055763	0.0336	0.0263	0.0130	97
NC_079146	3038364	3038364-1	68064	Gordonia phage Commandaria	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_079146	0.0285	0.0240	0.0122	98
NC_028653	1647475	1647475-1	67617	Gordonia phage GTE8	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_028653	0.0326	0.0296	0.0036	99
NC_055767	2301603	2301603-1	67802	Gordonia phage KidneyBean	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055767	0.0169	0.0	0.0130	100
NC_055766	2301602	2301602-1	67773	Gordonia phage Foxboro	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055766	0.0246	0.0025	0.0121	101
NC_055755	2250322	2250322-1	67081	Gordonia phage NatB6	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055755	0.0254	0.0038	0.0134	102
NC_055771	2315530	2315530-1	68190	Gordonia phage Emianna	dsDNA	2055	Gordonia terrae	Zierdtviridae	Actinomycetota	Prokaryote	NC_055771	0.0189	0.0101	0.0109	103
NC_047986	2201435	2201435-1	56708	Microbacterium phage Krampus	dsDNA	104336	Microbacterium foliorum	-	Actinomycetota	Prokaryote	NC_047986	0.0066	0.0150	0.0037	104
NC_070760	2790985	2790985-1	63364	Arthrobacter phage Wollypog	dsDNA	1665	Arthrobacter globiformis	-	Actinomycetota	Prokaryote	NC_070760	0.0	0.0	0.0	105
NC_023691	1074308	1074308-1	70506	Mycobacterium phage Patience	dsDNA	246196	Mycolicibacterium smegmatis MC2 155	-	Actinomycetota	Prokaryote	NC_023691	0.0	0.0	0.0	106
NC_048743	2499037	2499037-1	70030	Mycobacterium phage DrLupo	dsDNA	246196	Mycolicibacterium smegmatis MC2 155	-	Actinomycetota	Prokaryote	NC_048743	0.0	0.0	0.0	107
NC_004689	205880	205880-1	70797	Mycobacterium phage Barnyard	dsDNA	1762	-	-	-	Prokaryote	NC_004689	0.0	0.0	0.0	108
NC_011039	543153	543153-1	70110	Mycobacterium phage Predator	dsDNA	1772	Mycolicibacterium smegmatis	-	Actinomycetota	Prokaryote	NC_011039	0.0	0.0	0.0	109
NC_011292	563121	563121-1	68952	Mycobacterium phage Konstantine	dsDNA	246196	Mycolicibacterium smegmatis MC2 155	-	Actinomycetota	Prokaryote	NC_011292	0.0	0.0	0.0	110
NC_023578	1445727	1445727-1	69099	Mycobacterium phage Oaker	dsDNA	246196	Mycolicibacterium smegmatis MC2 155	-	Actinomycetota	Prokaryote	NC_023578	0.0034	0.0	0.0	111
NC_024371	1486469	1486469-1	68386	Mycobacterium phage Damien	dsDNA	246196	Mycolicibacterium smegmatis MC2 155	-	Actinomycetota	Prokaryote	NC_024371	0.0	0.0	0.0	112
NC_042033	1034146	1034146-1	71547	Mycobacterium phage Send513	dsDNA	246196	Mycolicibacterium smegmatis MC2 155	-	Actinomycetota	Prokaryote	NC_042033	0.0025	0.0	0.0	113
NC_022053	1383056	1383056-1	70657	Mycobacterium phage Papyrus	dsDNA	246196	Mycolicibacterium smegmatis MC2 155	-	Actinomycetota	Prokaryote	NC_022053	0.0026	0.0	0.0	114
NC_048824	2656582	2656582-1	71538	Mycobacterium phage Indlulamithi	dsDNA	246196	Mycolicibacterium smegmatis MC2 155	-	Actinomycetota	Prokaryote	NC_048824	0.0	0.0	0.0	115
NC_048734	2419978	2419978-1	69660	Mycobacterium phage Fowlmouth	dsDNA	246196	Mycolicibacterium smegmatis MC2 155	-	Actinomycetota	Prokaryote	NC_048734	0.0	0.0	0.0	116
NC_048696	2079417	2079417-1	68869	Mycobacterium phage Cuke	dsDNA	1772	Mycolicibacterium smegmatis	-	Actinomycetota	Prokaryote	NC_048696	0.0	0.0	0.0	117
NC_031001	1887654	1887654-1	66611	Gordonia phage Terapin	dsDNA	2055	Gordonia terrae	-	Actinomycetota	Prokaryote	NC_031001	0.0	0.0039	0.0037	118
NC_047990	2201430	2201430-1	67118	Gordonia phage Suzy	dsDNA	2055	Gordonia terrae	-	Actinomycetota	Prokaryote	NC_047990	0.0	0.0	0.0	119
NC_048813	2599848	2599848-1	66892	Gordonia phage Ranch	dsDNA	36822	Gordonia rubripertincta	-	Actinomycetota	Prokaryote	NC_048813	0.0021	0.0	0.0	120
NC_048814	2599845	2599845-1	67813	Gordonia phage Lambo	dsDNA	36822	Gordonia rubripertincta	-	Actinomycetota	Prokaryote	NC_048814	0.0	0.0	0.0	121
NC_048815	2599849	2599849-1	67485	Gordonia phage Sadboi	dsDNA	36822	Gordonia rubripertincta	-	Actinomycetota	Prokaryote	NC_048815	0.0	0.0	0.0	122
NC_048826	2656545	2656545-1	68155	Gordonia phage Yikes	dsDNA	36822	Gordonia rubripertincta	-	Actinomycetota	Prokaryote	NC_048826	0.0	0.0	0.0	123
NC_048812	2599843	2599843-1	67785	Gordonia phage Gibbin	dsDNA	36822	Gordonia rubripertincta	-	Actinomycetota	Prokaryote	NC_048812	0.0	0.0	0.0	124
NC_070765	2686235	2686235-1	71419	Mycobacterium phage Onyinye	dsDNA	246196	Mycolicibacterium smegmatis MC2 155	-	Actinomycetota	Prokaryote	NC_070765	0.0	0.0	0.0	125
NC_024209	1458711	1458711-1	67383	Mycobacterium phage Hawkeye	dsDNA	246196	Mycolicibacterium smegmatis MC2 155	-	Actinomycetota	Prokaryote	NC_024209	0.0	0.0	0.0031	126
JN699014	1089130	1089130-1	65108	Mycobacterium phage Nova	dsDNA	246196	Mycolicibacterium smegmatis MC2 155	-	Actinomycetota	Prokaryote	JN699014	0.0	0.0	0.0011	127
JF937107	1034117	1034117-1	64791	Mycobacterium phage SirHarley	dsDNA	246196	Mycolicibacterium smegmatis MC2 155	-	Actinomycetota	Prokaryote	JF937107	0.0	0.0	0.0012	128
NC_011290	561998	561998-1	64807	Mycobacterium phage Gumball	dsDNA	246196	Mycolicibacterium smegmatis MC2 155	-	Actinomycetota	Prokaryote	NC_011290	0.0	0.0	0.0012	129
NC_008200	373411	373411-1	64787	Mycobacterium phage PLot	dsDNA	1762	-	-	-	Prokaryote	NC_008200	0.0	0.0	0.0012	130
NC_011285	561999	561999-1	64618	Mycobacterium phage Troll4	dsDNA	246196	Mycolicibacterium smegmatis MC2 155	-	Actinomycetota	Prokaryote	NC_011285	0.0	0.0038	0.0012	131
FJ168660	561997	561997-1	64562	Mycobacterium phage Butterscotch	dsDNA	246196	Mycolicibacterium smegmatis MC2 155	-	Actinomycetota	Prokaryote	FJ168660	0.0	0.0	0.0012	132
NC_008198	373410	373410-1	64494	Mycobacterium phage PBI1	dsDNA	1762	-	-	-	Prokaryote	NC_008198	0.0	0.0	0.0012	133
EU676000	528321	528321-1	64511	Mycobacterium phage Adjutor	dsDNA	1785	Mycobacterium sp.	-	Actinomycetota	Prokaryote	EU676000	0.0	0.0	0.0012	134
NC_047913	2070185	2070185-1	36636	Faecalibacterium phage FP_Mushu	dsDNA	853	Faecalibacterium prausnitzii	-	Bacillota	Prokaryote	NC_047913	0.0	0.0065	0.0	135
NC_016165	1105286	1105286-1	39283	Rhodobacter phage RcapMu	dsDNA	1061	Rhodobacter capsulatus	-	Pseudomonadota	Prokaryote	NC_016165	0.0104	0.0076	0.0023	136
NC_021557	929834	929834-1	37378	Rhizobium phage RR1-B	dsDNA	358	Agrobacterium tumefaciens	-	Pseudomonadota	Prokaryote	NC_021557	0.0	0.0	0.0	137
NC_031059	1873452	1873452-1	38773	Rhodovulum phage vB_RhkS_P1	dsDNA	1564506	Rhodovulum sp. P5	-	Pseudomonadota	Prokaryote	NC_031059	0.0186	0.0143	0.0169	138
NC_020866	754056	754056-1	40231	Rhodovulum phage RS1	dsDNA	34008	Rhodovulum	-	Pseudomonadota	Prokaryote	NC_020866	0.0080	0.0194	0.0	139
NC_020839	754055	754055-1	39573	Rhodobacter phage RC1	dsDNA	1060	Rhodobacter	-	Pseudomonadota	Prokaryote	NC_020839	0.0080	0.0194	0.0	140
NC_011216	557289	557289-1	37635	Burkholderia phage KS10	dsDNA	95486	Burkholderia cenocepacia	-	Pseudomonadota	Prokaryote	NC_011216	0.0032	0.0075	0.0	141
NC_028766	1572750	1572750-1	33755	Mannheimia phage vB_MhM_3927AP2	dsDNA	75985	Mannheimia haemolytica	-	Pseudomonadota	Prokaryote	NC_028766	0.0	0.0	0.0064	142
