# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	30170	31621	+	HNGIBB_00039		NADH-quinone oxidoreductase subunit N	SO:0001217, UniRef:UniRef50_A0A6I6MPF1
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	31635	32384	+	HNGIBB_00040		biotin--[biotin carboxyl-carrier protein] ligase	SO:0001217, UniRef:UniRef50_A0A6I6MJ48
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	32388	33164	+	HNGIBB_00041		Type III pantothenate kinase	SO:0001217, UniRef:UniRef50_B4RC03
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	33227	34846	+	HNGIBB_00042		Metallo-beta-lactamase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A062U7Z4
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	34875	35300	+	HNGIBB_00043		Ethylmalonyl-CoA/methylmalonyl-CoA epimerase	SO:0001217, UniRef:UniRef50_Q3IZP4
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	35297	35545	+	HNGIBB_00044		DUF1467 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1B1ADD1
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	35606	37138	+	HNGIBB_00045		Proline--tRNA ligase	SO:0001217, UniRef:UniRef50_Q7X2P1
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	37138	38412	+	HNGIBB_00046		ABC transporter permease	SO:0001217, UniRef:UniRef50_A0A1B1ADD7
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	38405	39712	+	HNGIBB_00047		hypothetical protein	PFAM:PF00005.33, PFAM:PF06271.18, PFAM:PF13304.12
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	39741	43154	+	HNGIBB_00048		DNA polymerase III subunit alpha	SO:0001217, UniRef:UniRef50_A0A4S2HFK3
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	43260	44645	+	HNGIBB_00049		Amidohydrolase	SO:0001217, UniRef:UniRef50_A0A2S7K5I9
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	44642	45895	+	HNGIBB_00050		Amidohydrolase-related domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1V1PJ56
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	45892	47733	-	HNGIBB_00051		hypothetical protein	PFAM:PF00561.26
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	47927	48739	+	HNGIBB_00052		Small ribosomal subunit protein uS2	SO:0001217, UniRef:UniRef50_A0A358PD72
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	48774	49715	+	HNGIBB_00053		Elongation factor Ts	SO:0001217, UniRef:UniRef50_Q8RT66
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	49838	50581	+	HNGIBB_00054		Uridylate kinase	SO:0001217, UniRef:UniRef50_Q9X5E9
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	50594	51160	+	HNGIBB_00055		Ribosome-recycling factor	SO:0001217, UniRef:UniRef50_A8F0R2
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	51177	51920	+	HNGIBB_00056		Isoprenyl transferase	SO:0001217, UniRef:UniRef50_Q9A707
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	51973	52764	+	HNGIBB_00057		Phosphatidate cytidylyltransferase	SO:0001217, UniRef:UniRef50_A0A941PNX4
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	52761	53948	+	HNGIBB_00058		1-deoxy-D-xylulose 5-phosphate reductoisomerase	SO:0001217, UniRef:UniRef50_Q9A709
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	53997	55160	+	HNGIBB_00059		PDZ domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1B1ADB9
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	55242	57710	+	HNGIBB_00060	bamA	Outer membrane protein assembly factor BamA	SO:0001217, UniRef:UniRef50_A0A523FXF0
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	57724	58365	+	HNGIBB_00061	ompH	OmpH family outer membrane protein	SO:0001217, UniRef:UniRef50_A0A2W4Z9S0
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	58415	59422	+	HNGIBB_00062		UDP-3-O-acylglucosamine N-acyltransferase	SO:0001217, UniRef:UniRef50_A0A2P2EE79
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	59409	59903	+	HNGIBB_00063	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	SO:0001217, UniRef:UniRef50_Q0APV4
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	59900	60691	+	HNGIBB_00064		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	SO:0001217, UniRef:UniRef50_Q9A715
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	60691	61548	+	HNGIBB_00065	lpxI	UDP-2,3-diacylglucosamine diphosphatase LpxI	SO:0001217, UniRef:UniRef50_A0A9D7DA18
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	61545	62711	+	HNGIBB_00066		Lipid-A-disaccharide synthase	SO:0001217, UniRef:UniRef50_A0A9D9AKS0
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	62729	64036	-	HNGIBB_00067		Citrate synthase	SO:0001217, UniRef:UniRef50_A0A833FZ49
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	64569	66767	+	HNGIBB_00068		ComEC/Rec2 family competence protein	SO:0001217, UniRef:UniRef50_A0A953W526
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	66774	67457	-	HNGIBB_00069	lexA	LexA repressor	SO:0001217, UniRef:UniRef50_Q2YRR1
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	67529	68311	-	HNGIBB_00070		Indole-3-glycerol phosphate synthase	SO:0001217, UniRef:UniRef50_Q0EWN8
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	68308	69318	-	HNGIBB_00071		Anthranilate phosphoribosyltransferase	SO:0001217, UniRef:UniRef50_A0A1B1ADA8
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	69315	69890	-	HNGIBB_00072		Anthranilate synthase, amidotransferase component Para-aminobenzoate synthase, amidotransferase component	SO:0001217, UniRef:UniRef50_A0A1R4GD37
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	70066	70632	-	HNGIBB_00073		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	70758	72305	-	HNGIBB_00074		Anthranilate synthase component 1	SO:0001217, UniRef:UniRef50_P95646
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	72302	74293	-	HNGIBB_00075		hypothetical protein	PFAM:PF13145.12, PFAM:PF13623.11, PFAM:PF13624.11
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	74359	75117	+	HNGIBB_00076		Triosephosphate isomerase	SO:0001217, UniRef:UniRef50_P96190
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	75231	75980	+	HNGIBB_00077		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	76034	77668	+	HNGIBB_00078		CTP synthase	SO:0001217, UniRef:UniRef50_Q8UEY5
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	77715	78269	+	HNGIBB_00079	djlA	Co-chaperone DjlA N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7C4ZIP7
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	78266	79123	-	HNGIBB_00080		BD-FAE-like domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6J4TXQ8
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	79245	79856	+	HNGIBB_00081		hypothetical protein	PFAM:PF10988.14
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	79868	80485	+	HNGIBB_00082		hypothetical protein	PFAM:PF10988.14
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	80522	81418	+	HNGIBB_00083		DAGKc domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1B1ADA1
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	81425	82252	+	HNGIBB_00084		Calcineurin-like phosphoesterase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1B1ADA3
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	82320	82550	+	HNGIBB_00085		Prokaryotic metallothionein	SO:0001217, UniRef:UniRef50_A0QTA0
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	82567	83034	-	HNGIBB_00086		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	83034	83477	-	HNGIBB_00087		Hypoxic response protein 1	SO:0001217, UniRef:UniRef50_A0AAD2EHD1
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	83625	83750	+	HNGIBB_00088		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	83793	84074	+	HNGIBB_00089		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	84169	84351	+	HNGIBB_00090		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	84354	84893	+	HNGIBB_00091		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	85141	86421	+	HNGIBB_00092		Enolase	SO:0001217, UniRef:UniRef50_Q110V4
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	86494	88101	+	HNGIBB_00093		hypothetical protein	PFAM:PF00512.31, PFAM:PF02518.31, PFAM:PF05231.19
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	88098	88646	-	HNGIBB_00094		hypothetical protein	PFAM:PF05995.18
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	89253	89645	+	HNGIBB_00095		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	89642	90904	-	HNGIBB_00096		hypothetical protein	PFAM:PF08239.17, PFAM:PF13676.11
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	91056	91151	+	HNGIBB_00097		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	91404	91697	+	HNGIBB_00098		Septum formation initiator	SO:0001217, UniRef:UniRef50_A0A1B1AD88
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	91827	92822	+	HNGIBB_00099		Pyruvate dehydrogenase E1 component subunit alpha	SO:0001217, UniRef:UniRef50_Q9R9N5
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	92851	93249	+	HNGIBB_00100		MAPEG family protein	SO:0001217, UniRef:UniRef50_A0A1B1AD92
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	93249	94610	+	HNGIBB_00101		Pyruvate dehydrogenase E1 component subunit beta	SO:0001217, UniRef:UniRef50_U6B3S6
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	94607	95017	+	HNGIBB_00102		CENP-V/GFA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1B1AD85
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	95014	95460	+	HNGIBB_00103		MotA/TolQ/ExbB proton channel domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1B1AD81
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	95457	96749	+	HNGIBB_00104		Acetyltransferase component of pyruvate dehydrogenase complex	SO:0001217, UniRef:UniRef50_A0A9D8TYZ6
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	96822	97271	+	HNGIBB_00105		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	97375	97857	+	HNGIBB_00106		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	97877	98311	+	HNGIBB_00107		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	98308	99162	-	HNGIBB_00108		hypothetical protein	PFAM:PF00072.30
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	99296	99940	+	HNGIBB_00109		UPF0056 membrane protein	SO:0001217, UniRef:UniRef50_A0A4S2HAU7
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	99976	100518	+	HNGIBB_00110		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	100587	101996	+	HNGIBB_00111		Dihydrolipoyl dehydrogenase	SO:0001217, UniRef:UniRef50_A0A3S9VFK7
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	101968	102279	+	HNGIBB_00112		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	102276	103844	-	HNGIBB_00113		Acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase/long-chain-fatty-acid--[acyl-carrier-protein] ligase	SO:0001217, UniRef:UniRef50_A0A7W9CH30
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	104161	105015	+	HNGIBB_00114		Lipoyl synthase	SO:0001217, UniRef:UniRef50_F2I126
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	105017	105472	+	HNGIBB_00115		Coenzyme Q-binding protein COQ10 START domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1B1AD69
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	105572	106063	-	HNGIBB_00116		Nicotinamide-nucleotide amidase	SO:0001217, UniRef:UniRef50_A0A840XSY8
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	106150	108843	+	HNGIBB_00117		Spermidine synthase	SO:0001217, UniRef:UniRef50_A0A1B1AD72
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	108815	109963	-	HNGIBB_00118		Bifunctional enzyme IspD/IspF	SO:0001217, UniRef:UniRef50_A0A951B2B1
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	110109	111047	+	HNGIBB_00119		tRNA-dihydrouridine synthase	SO:0001217, UniRef:UniRef50_A0A2S5M8B3
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	111044	112126	+	HNGIBB_00120		histidine kinase	SO:0001217, UniRef:UniRef50_A0A6I6MQU8
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	112123	113502	+	HNGIBB_00121		hypothetical protein	PFAM:PF00072.30, PFAM:PF00158.32, PFAM:PF02954.25, PFAM:PF14532.12
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	113529	115799	+	HNGIBB_00122		histidine kinase	SO:0001217, UniRef:UniRef50_A0A6I6MIZ0
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	115796	117190	+	HNGIBB_00123		Sigma-54-dependent Fis family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A920EQR8
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	117187	118032	+	HNGIBB_00124		D-alanine aminotransferase	SO:0001217, UniRef:UniRef50_A0A523FZ90
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	118146	118397	+	HNGIBB_00125		RNA-binding protein Hfq	SO:0001217, UniRef:UniRef50_Q0C0N8
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	118381	119733	+	HNGIBB_00126	hflX	GTPase HflX	SO:0001217, UniRef:UniRef50_A0A109LTI8
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	119743	121146	-	HNGIBB_00127		UDP-N-acetylmuramate--L-alanine ligase	SO:0001217, UniRef:UniRef50_A0A1V2ETE0
