#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	84169	84351	+	HNGIBB_00090	7.0	11.0		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	84354	84893	+	HNGIBB_00091	19.1	4.3		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	86494	88101	+	HNGIBB_00093	56.8	6.1	PF00512.31|HisKA, PF02518.31|HATPase_c, PF05231.19|MASE1	PFAM:PF00512.31, PFAM:PF02518.31, PFAM:PF05231.19
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	88098	88646	-	HNGIBB_00094	20.2	7.8	PF05995.18|CDO_I	PFAM:PF05995.18
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	89253	89645	+	HNGIBB_00095	14.7	10.8		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	89642	90904	-	HNGIBB_00096	46.2	6.9	PF08239.17|SH3_3, PF13676.11|TIR_2	PFAM:PF08239.17, PFAM:PF13676.11
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	91056	91151	+	HNGIBB_00097	3.3	8.0		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	96822	97271	+	HNGIBB_00105	15.2	6.2		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	97375	97857	+	HNGIBB_00106	16.7	4.7		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	97877	98311	+	HNGIBB_00107	14.9	6.8		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	98308	99162	-	HNGIBB_00108	31.8	9.3	PF00072.30|Response_reg	PFAM:PF00072.30
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	99976	100518	+	HNGIBB_00110	19.6	7.8		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	101968	102279	+	HNGIBB_00112	11.3	8.9		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	112123	113502	+	HNGIBB_00121	49.8	6.4	PF00072.30|Response_reg, PF00158.32|Sigma54_activat, PF02954.25|HTH_8, PF14532.12|Sigma54_activ_2	PFAM:PF00072.30, PFAM:PF00158.32, PFAM:PF02954.25, PFAM:PF14532.12
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	122091	122738	+	HNGIBB_00129	24.0	6.1		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	122735	123508	-	HNGIBB_00130	28.6	5.7		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	129746	130693	+	HNGIBB_00138	33.9	8.1	PF08241.18|Methyltransf_11, PF13489.12|Methyltransf_23	PFAM:PF08241.18, PFAM:PF13489.12
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	140929	141723	+	HNGIBB_00146	30.2	9.6	PF00535.33|Glycos_transf_2	PFAM:PF00535.33
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	145223	145705	+	HNGIBB_00151	18.2	5.9		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	145690	147003	+	HNGIBB_00152	49.6	9.1		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	147020	148375	+	HNGIBB_00153	48.7	5.5		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	148514	148720	+	HNGIBB_00154	7.7	8.9		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	148921	149673	-	HNGIBB_00155	28.4	6.8		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	151122	151406	-	HNGIBB_00157	10.9	4.8		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	151545	151679	+	HNGIBB_00158	4.8	10.1		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	151871	152278	-	HNGIBB_00159	15.3	9.4		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	152275	152664	-	HNGIBB_00160	13.9	8.9		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	152661	152873	-	HNGIBB_00161	7.5	8.0		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	152870	153487	-	HNGIBB_00162	22.2	8.2		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	153472	153927	-	HNGIBB_00163	16.7	5.1		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	154318	157029	-	HNGIBB_00164	100.1	5.8		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	157026	157232	-	HNGIBB_00165	7.6	8.1	PF12728.13|HTH_17	PFAM:PF12728.13
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	158884	159189	-	HNGIBB_00167	11.4	10.0		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	159285	159554	-	HNGIBB_00168	9.8	9.5	PF00216.26|Bac_DNA_binding	PFAM:PF00216.26
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	162355	163890	-	HNGIBB_00170	55.5	5.5	PF00144.29|Beta-lactamase, PF07719.23|TPR_2, PF13428.12|TPR_14, PF13432.12|TPR_16	PFAM:PF00144.29, PFAM:PF07719.23, PFAM:PF13428.12, PFAM:PF13432.12
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	165504	166292	-	HNGIBB_00172	28.7	7.9		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	166399	167301	-	HNGIBB_00173	33.0	4.7		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	169962	170645	-	HNGIBB_00177	25.5	6.2		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	172193	172765	-	HNGIBB_00179	20.7	5.2	PF00300.27|His_Phos_1	PFAM:PF00300.27
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	174861	175241	-	HNGIBB_00182	13.3	7.8		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	175357	175836	-	HNGIBB_00183	16.3	4.1	PF13505.12|OMP_b-brl	PFAM:PF13505.12
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	178119	178325	-	HNGIBB_00185	7.4	9.6	PF00313.28|CSD	PFAM:PF00313.28
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	178322	178753	-	HNGIBB_00186	15.0	9.7	PF02469.27|Fasciclin	PFAM:PF02469.27
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	178811	179005	-	HNGIBB_00187	7.3	9.3		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	179002	179211	-	HNGIBB_00188	7.6	10.6		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	179227	179430	-	HNGIBB_00189	7.2	6.0		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	179665	179853	+	HNGIBB_00190	6.5	6.7		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	180065	181603	+	HNGIBB_00191	56.9	9.5	PF00270.35|DEAD, PF00271.37|Helicase_C	PFAM:PF00270.35, PFAM:PF00271.37
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	185709	185978	+	HNGIBB_00195	10.0	4.4		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	189912	190229	-	HNGIBB_00202	11.4	9.1		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	190205	190690	-	HNGIBB_00203	16.8	4.3		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	190701	191396	-	HNGIBB_00204	23.6	4.1		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	195411	196184	-	HNGIBB_00209	29.5	6.1		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	198399	198815	-	HNGIBB_00212	15.0	4.8		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	205460	205885	-	HNGIBB_00218	15.6	5.2		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	213732	213929	-	HNGIBB_00230	7.2	6.0		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	215320	216657	-	HNGIBB_00232	45.6	5.9	PF13194.11|DUF4010	PFAM:PF13194.11, SO:0001217, UniRef:UniRef50_A0A1B1AMU9
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	217008	217868	+	HNGIBB_00233	31.4	10.0	PF01656.29|CbiA, PF09140.17|MipZ, PF13614.12|AAA_31	PFAM:PF01656.29, PFAM:PF09140.17, PFAM:PF13614.12
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	220577	221119	-	HNGIBB_00239	19.0	5.9		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	221217	222026	-	HNGIBB_00240	28.6	5.2	PF00326.27|Peptidase_S9, PF07859.19|Abhydrolase_3, PF12146.15|Hydrolase_4, PF20434.5|BD-FAE	PFAM:PF00326.27, PFAM:PF07859.19, PFAM:PF12146.15, PFAM:PF20434.5
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	222029	222550	-	HNGIBB_00241	17.4	4.4		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	225753	226292	-	HNGIBB_00245	19.9	4.8		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	226289	226858	-	HNGIBB_00246	20.5	4.9		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	226927	227688	-	HNGIBB_00247	27.7	7.1	PF00515.34|TPR_1, PF07719.23|TPR_2, PF12895.13|ANAPC3, PF13181.12|TPR_8, PF13424.12|TPR_12, PF13428.12|TPR_14, PF13431.12|TPR_17, PF13432.12|TPR_16, PF14559.12|TPR_19	PFAM:PF00515.34, PFAM:PF07719.23, PFAM:PF12895.13, PFAM:PF13181.12, PFAM:PF13424.12, PFAM:PF13428.12, PFAM:PF13431.12, PFAM:PF13432.12, PFAM:PF14559.12
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	230014	231813	-	HNGIBB_00250	66.1	7.3	PF00515.34|TPR_1, PF07719.23|TPR_2, PF07721.20|TPR_4, PF12895.13|ANAPC3, PF13176.12|TPR_7, PF13181.12|TPR_8, PF13414.12|TPR_11, PF13424.12|TPR_12, PF13428.12|TPR_14, PF13429.12|TPR_15, PF13432.12|TPR_16, PF13759.12|2OG-FeII_Oxy_5, PF14559.12|TPR_19, PF20308.4|TPR-S	PFAM:PF00515.34, PFAM:PF07719.23, PFAM:PF07721.20, PFAM:PF12895.13, PFAM:PF13176.12, PFAM:PF13181.12, PFAM:PF13414.12, PFAM:PF13424.12, PFAM:PF13428.12, PFAM:PF13429.12, PFAM:PF13432.12, PFAM:PF13759.12, PFAM:PF14559.12, PFAM:PF20308.4, SO:0001217, UniRef:UniRef50_A0A2W4Z4E1
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	234455	235861	-	HNGIBB_00255	50.5	5.7	PF01979.26|Amidohydro_1, PF07969.17|Amidohydro_3	PFAM:PF01979.26, PFAM:PF07969.17
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	237287	237697	+	HNGIBB_00257	14.8	5.3	PF00903.31|Glyoxalase, PF18029.7|Glyoxalase_6	PFAM:PF00903.31, PFAM:PF18029.7
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	238598	239731	+	HNGIBB_00259	41.2	5.3	PF04024.17|PspC	PFAM:PF04024.17
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	239788	240216	-	HNGIBB_00260	16.0	6.6		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	251886	252422	-	HNGIBB_00273	19.1	5.1	PF01288.25|HPPK	PFAM:PF01288.25
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	253699	254559	-	HNGIBB_00276	31.0	4.8	PF00515.34|TPR_1, PF07719.23|TPR_2, PF13181.12|TPR_8, PF13371.12|TPR_9, PF13414.12|TPR_11, PF13424.12|TPR_12, PF13431.12|TPR_17	PFAM:PF00515.34, PFAM:PF07719.23, PFAM:PF13181.12, PFAM:PF13371.12, PFAM:PF13414.12, PFAM:PF13424.12, PFAM:PF13431.12
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	261566	262108	+	HNGIBB_00282	19.6	9.9		SO:0001217, UniRef:UniRef50_A0A9D6KYX0
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	264365	265027	+	HNGIBB_00285	23.7	4.7		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	271399	272448	+	HNGIBB_00292	38.9	6.3		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	272498	273475	+	HNGIBB_00293	34.2	6.3	PF01344.31|Kelch_1, PF07646.21|Kelch_2, PF13418.12|Kelch_4, PF13854.12|Kelch_5, PF13964.12|Kelch_6	PFAM:PF01344.31, PFAM:PF07646.21, PFAM:PF13418.12, PFAM:PF13854.12, PFAM:PF13964.12
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	275160	275777	+	HNGIBB_00296	22.4	4.6		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	275883	276668	+	HNGIBB_00297	28.2	5.2	PF02900.23|LigB	PFAM:PF02900.23
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	279646	280629	-	HNGIBB_00299	37.0	5.5		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	280629	281591	-	HNGIBB_00300	35.0	8.8		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	281640	282425	-	HNGIBB_00301	28.4	6.0	PF00903.31|Glyoxalase, PF13468.12|Glyoxalase_3	PFAM:PF00903.31, PFAM:PF13468.12
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	282422	282847	-	HNGIBB_00302	15.2	6.7		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	286036	286872	-	HNGIBB_00305	30.8	4.6	PF09346.15|SMI1_KNR4, PF14567.11|SUKH_5, PF14568.11|SUKH_6	PFAM:PF09346.15, PFAM:PF14567.11, PFAM:PF14568.11
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	286951	287364	-	HNGIBB_00306	14.4	6.5	PF03994.20|DUF350	PFAM:PF03994.20
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	287509	287730	-	HNGIBB_00307	7.9	5.2		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	287988	288488	+	HNGIBB_00308	18.9	11.8		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	289900	290019	-	HNGIBB_00311	4.3	7.9		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	294706	296001	+	HNGIBB_00316	43.9	10.2	PF01782.24|RimM, PF24986.1|PRC_RimM	PFAM:PF01782.24, PFAM:PF24986.1
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	296688	297224	-	HNGIBB_00318	18.2	4.9		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	297339	297854	+	HNGIBB_00319	18.0	5.4		SO:0001217, UniRef:UniRef50_A0A1B1ADP9
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	303066	303581	-	HNGIBB_00326	18.4	4.8	PF00085.26|Thioredoxin, PF00578.27|AhpC-TSA, PF08534.16|Redoxin, PF13905.12|Thioredoxin_8	PFAM:PF00085.26, PFAM:PF00578.27, PFAM:PF08534.16, PFAM:PF13905.12
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	303578	303715	-	HNGIBB_00327	5.1	9.7		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	306878	308194	-	HNGIBB_00332	44.2	5.0		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	311253	311999	+	HNGIBB_00334	27.6	9.9		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	316963	317274	+	HNGIBB_00339	12.1	10.0		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	317333	318106	-	HNGIBB_00340	28.1	9.3		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	318155	318274	+	HNGIBB_00341	4.4	9.6		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	318363	320819	+	HNGIBB_00342	89.8	4.8	PF00905.27|Transpeptidase, PF00912.28|Transgly	PFAM:PF00905.27, PFAM:PF00912.28
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	320903	322987	+	HNGIBB_00343	75.5	5.5	PF00326.27|Peptidase_S9, PF00561.26|Abhydrolase_1, PF01738.24|DLH, PF12146.15|Hydrolase_4, PF12697.13|Abhydrolase_6, PF20434.5|BD-FAE	PFAM:PF00326.27, PFAM:PF00561.26, PFAM:PF01738.24, PFAM:PF12146.15, PFAM:PF12697.13, PFAM:PF20434.5
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	323066	324493	+	HNGIBB_00344	52.0	5.5	PF01979.26|Amidohydro_1, PF07969.17|Amidohydro_3	PFAM:PF01979.26, PFAM:PF07969.17
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	325116	325889	-	HNGIBB_00346	29.5	10.0		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	337399	337665	+	HNGIBB_00356	9.5	10.3		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	337662	338783	-	HNGIBB_00357	40.9	9.9	PF01757.29|Acyl_transf_3	PFAM:PF01757.29
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	341941	342141	+	HNGIBB_00361	7.5	6.6		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	349397	349972	-	HNGIBB_00368	20.8	5.1		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	350035	351039	-	HNGIBB_00369	36.7	8.8	PF14300.12|DMP19	PFAM:PF14300.12
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	358081	360384	+	HNGIBB_00374	86.2	6.0	PF20833.2|RNase_E_G_Thio	PFAM:PF20833.2
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	362632	363381	-	HNGIBB_00377	27.0	6.0	PF00494.24|SQS_PSY	PFAM:PF00494.24
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	367373	368437	-	HNGIBB_00382	38.2	8.8	PF01476.26|LysM, PF01551.29|Peptidase_M23	PFAM:PF01476.26, PFAM:PF01551.29
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	374781	375080	-	HNGIBB_00390	11.2	7.6	PF04828.22|GFA	PFAM:PF04828.22
