# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	14691	15068	+	HNGIBB_00019	173.0	6.5e-55	1.0	0.856	0.696	UniRef:UniRef50_A0A0B4WYQ2
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	15073	15636	+	HNGIBB_00020	315.0	5.2e-109	0.979	0.810	0.798	UniRef:UniRef50_P29918
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	15633	16244	+	HNGIBB_00021	254.0	2.3e-84	0.995	0.808	0.599	UniRef:UniRef50_P29917
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	16241	16681	+	HNGIBB_00022	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	16674	17879	+	HNGIBB_00023	601.0	1.6e-215	0.968	0.960	0.724	UniRef:UniRef50_A0A2D8B206
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	17889	18251	+	HNGIBB_00024	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	18248	18580	+	HNGIBB_00025	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	18588	19241	+	HNGIBB_00026	253.0	3.1e-83	1.005	0.807	0.578	UniRef:UniRef50_A0A4Y9RCM2
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	19241	19495	+	HNGIBB_00027	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	19505	20815	+	HNGIBB_00028	607.0	2.5e-215	0.963	0.816	0.700	UniRef:UniRef50_P56912
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	20812	21165	+	HNGIBB_00029	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	21172	21477	+	HNGIBB_00030	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	21541	21696	-	HNGIBB_00031	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	21939	24005	+	HNGIBB_00032	831.0	1.3e-296	1.023	0.983	0.632	UniRef:UniRef50_A0A5P9GWC2
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	24002	25132	+	HNGIBB_00033	350.0	2.6e-117	0.934	0.900	0.553	UniRef:UniRef50_A1B487
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	25136	25624	+	HNGIBB_00034	182.0	1.0e-57	1.0	1.0	0.753	UniRef:UniRef50_A0A2G2GFH6
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	25693	26301	+	HNGIBB_00035	187.0	2.8e-58	0.975	0.860	0.579	UniRef:UniRef50_A0A1M3NPF2
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	26301	26609	+	HNGIBB_00036	125.0	1.3e-36	0.980	0.813	0.690	UniRef:UniRef50_P50940
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	26614	28665	+	HNGIBB_00037	781.0	2.9e-276	1.116	1.0	0.581	UniRef:UniRef50_A0A4S2HEW0
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	28662	30173	+	HNGIBB_00038	561.0	2.0e-195	1.0	0.875	0.598	UniRef:UniRef50_A0A1L9CUV4
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	30170	31621	+	HNGIBB_00039	714.0	1.4e-257	1.0	0.996	0.807	UniRef:UniRef50_A0A6I6MPF1
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	31635	32384	+	HNGIBB_00040	335.0	2.8e-115	1.0	0.940	0.679	UniRef:UniRef50_A0A6I6MJ48
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	32388	33164	+	HNGIBB_00041	313.0	4.5e-106	0.984	0.904	0.594	UniRef:UniRef50_B4RC03
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	33227	34846	+	HNGIBB_00042	630.0	6.0e-222	1.006	0.956	0.581	UniRef:UniRef50_A0A062U7Z4
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	34875	35300	+	HNGIBB_00043	147.0	2.2e-44	0.950	0.822	0.530	UniRef:UniRef50_Q3IZP4
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	35297	35545	+	HNGIBB_00044	112.0	2.7e-32	0.963	0.963	0.658	UniRef:UniRef50_A0A1B1ADD1
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	35606	37138	+	HNGIBB_00045	644.0	5.8e-228	1.002	0.909	0.609	UniRef:UniRef50_Q7X2P1
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	37138	38412	+	HNGIBB_00046	525.0	1.2e-184	0.988	0.952	0.630	UniRef:UniRef50_A0A1B1ADD7
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	38405	39712	+	HNGIBB_00047	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	39741	43154	+	HNGIBB_00048	1208.0	0.0	1.004	0.951	0.578	UniRef:UniRef50_A0A4S2HFK3
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	43260	44645	+	HNGIBB_00049	463.0	3.7e-158	0.963	0.839	0.541	UniRef:UniRef50_A0A2S7K5I9
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	44642	45895	+	HNGIBB_00050	628.0	1.1e-225	0.990	0.986	0.811	UniRef:UniRef50_A0A1V1PJ56
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	45892	47733	-	HNGIBB_00051	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	47927	48739	+	HNGIBB_00052	307.0	3.3e-103	0.948	0.831	0.590	UniRef:UniRef50_A0A358PD72
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	48774	49715	+	HNGIBB_00053	337.0	2.8e-113	1.003	0.822	0.596	UniRef:UniRef50_Q8RT66
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	49838	50581	+	HNGIBB_00054	282.0	1.4e-94	0.951	0.944	0.613	UniRef:UniRef50_Q9X5E9
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	50594	51160	+	HNGIBB_00055	225.0	1.7e-73	0.957	0.865	0.628	UniRef:UniRef50_A8F0R2
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	51177	51920	+	HNGIBB_00056	276.0	5.7e-92	0.947	0.897	0.590	UniRef:UniRef50_Q9A707
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	51973	52764	+	HNGIBB_00057	407.0	1.6e-142	0.996	0.824	0.790	UniRef:UniRef50_A0A941PNX4
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	52761	53948	+	HNGIBB_00058	364.0	3.9e-122	0.982	0.939	0.544	UniRef:UniRef50_Q9A709
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	53997	55160	+	HNGIBB_00059	488.0	4.5e-171	1.049	0.983	0.675	UniRef:UniRef50_A0A1B1ADB9
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	55242	57710	+	HNGIBB_00060	802.0	4.9e-282	0.971	1.015	0.523	UniRef:UniRef50_A0A523FXF0
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	57724	58365	+	HNGIBB_00061	273.0	8.0e-92	1.019	1.005	0.737	UniRef:UniRef50_A0A2W4Z9S0
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	58415	59422	+	HNGIBB_00062	169.0	1.1e-47	0.985	0.954	0.594	UniRef:UniRef50_A0A2P2EE79
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	59409	59903	+	HNGIBB_00063	171.0	2.8e-53	0.866	0.940	0.627	UniRef:UniRef50_Q0APV4
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	59900	60691	+	HNGIBB_00064	347.0	1.9e-119	1.0	0.956	0.810	UniRef:UniRef50_Q9A715
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	60691	61548	+	HNGIBB_00065	262.0	1.7e-85	0.986	0.969	0.512	UniRef:UniRef50_A0A9D7DA18
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	61545	62711	+	HNGIBB_00066	490.0	6.8e-172	0.972	0.947	0.684	UniRef:UniRef50_A0A9D9AKS0
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	62729	64036	-	HNGIBB_00067	554.0	6.8e-196	0.986	0.982	0.643	UniRef:UniRef50_A0A833FZ49
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	64569	66767	+	HNGIBB_00068	956.0	0.0	0.995	0.981	0.672	UniRef:UniRef50_A0A953W526
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	66774	67457	-	HNGIBB_00069	287.0	2.5e-96	1.066	0.843	0.636	UniRef:UniRef50_Q2YRR1
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	67529	68311	-	HNGIBB_00070	276.0	1.7e-91	0.988	0.959	0.603	UniRef:UniRef50_Q0EWN8
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	68308	69318	-	HNGIBB_00071	356.0	1.1e-120	1.045	1.009	0.624	UniRef:UniRef50_A0A1B1ADA8
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	69315	69890	-	HNGIBB_00072	210.0	2.6e-67	0.995	0.809	0.553	UniRef:UniRef50_A0A1R4GD37
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	70066	70632	-	HNGIBB_00073	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	70758	72305	-	HNGIBB_00074	506.0	3.3e-174	0.996	0.983	0.569	UniRef:UniRef50_P95646
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	72302	74293	-	HNGIBB_00075	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	74359	75117	+	HNGIBB_00076	207.0	2.7e-64	0.992	0.871	0.520	UniRef:UniRef50_P96190
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	75231	75980	+	HNGIBB_00077	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	76034	77668	+	HNGIBB_00078	829.0	7.1e-299	1.0	0.818	0.743	UniRef:UniRef50_Q8UEY5
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	77715	78269	+	HNGIBB_00079	187.0	9.1e-59	0.940	0.852	0.543	UniRef:UniRef50_A0A7C4ZIP7
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	78266	79123	-	HNGIBB_00080	287.0	9.8e-95	0.954	0.817	0.559	UniRef:UniRef50_A0A6J4TXQ8
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	79245	79856	+	HNGIBB_00081	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	79868	80485	+	HNGIBB_00082	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	80522	81418	+	HNGIBB_00083	487.0	2.4e-173	0.956	0.853	0.888	UniRef:UniRef50_A0A1B1ADA1
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	81425	82252	+	HNGIBB_00084	448.0	9.9e-159	0.982	0.871	0.789	UniRef:UniRef50_A0A1B1ADA3
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	82320	82550	+	HNGIBB_00085	128.0	7.4e-39	0.974	0.822	0.730	UniRef:UniRef50_A0QTA0
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	82567	83034	-	HNGIBB_00086	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	83034	83477	-	HNGIBB_00087	165.0	2.5e-51	1.007	1.0	0.568	UniRef:UniRef50_A0AAD2EHD1
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	83625	83750	+	HNGIBB_00088	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	83793	84074	+	HNGIBB_00089	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	84169	84351	+	HNGIBB_00090	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	84354	84893	+	HNGIBB_00091	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	85141	86421	+	HNGIBB_00092	522.0	2.0e-183	0.974	0.970	0.631	UniRef:UniRef50_Q110V4
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	86494	88101	+	HNGIBB_00093	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	88098	88646	-	HNGIBB_00094	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	89253	89645	+	HNGIBB_00095	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	89642	90904	-	HNGIBB_00096	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	91056	91151	+	HNGIBB_00097	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	91404	91697	+	HNGIBB_00098	87.0	7.1e-22	0.948	0.885	0.598	UniRef:UniRef50_A0A1B1AD88
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	91827	92822	+	HNGIBB_00099	477.0	5.9e-168	0.982	0.833	0.738	UniRef:UniRef50_Q9R9N5
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	92851	93249	+	HNGIBB_00100	181.0	2.8e-58	0.992	0.963	0.664	UniRef:UniRef50_A0A1B1AD92
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	93249	94610	+	HNGIBB_00101	747.0	5.1e-271	1.073	1.0	0.827	UniRef:UniRef50_U6B3S6
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	94607	95017	+	HNGIBB_00102	199.0	3.5e-65	0.985	0.964	0.679	UniRef:UniRef50_A0A1B1AD85
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	95014	95460	+	HNGIBB_00103	139.0	7.3e-41	1.034	0.975	0.510	UniRef:UniRef50_A0A1B1AD81
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	95457	96749	+	HNGIBB_00104	468.0	4.8e-161	1.133	0.996	0.559	UniRef:UniRef50_A0A9D8TYZ6
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	96822	97271	+	HNGIBB_00105	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	97375	97857	+	HNGIBB_00106	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	97877	98311	+	HNGIBB_00107	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	98308	99162	-	HNGIBB_00108	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	99296	99940	+	HNGIBB_00109	234.0	2.5e-76	0.972	0.881	0.553	UniRef:UniRef50_A0A4S2HAU7
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	99976	100518	+	HNGIBB_00110	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	100587	101996	+	HNGIBB_00111	592.0	6.4e-210	1.004	1.011	0.656	UniRef:UniRef50_A0A3S9VFK7
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	101968	102279	+	HNGIBB_00112	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	102276	103844	-	HNGIBB_00113	553.0	1.3e-192	0.975	0.943	0.558	UniRef:UniRef50_A0A7W9CH30
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	104161	105015	+	HNGIBB_00114	405.0	2.6e-142	0.905	0.992	0.770	UniRef:UniRef50_F2I126
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	105017	105472	+	HNGIBB_00115	254.0	2.4e-86	0.993	0.862	0.820	UniRef:UniRef50_A0A1B1AD69
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	105572	106063	-	HNGIBB_00116	171.0	5.2e-53	0.939	0.836	0.621	UniRef:UniRef50_A0A840XSY8
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	106150	108843	+	HNGIBB_00117	1127.0	0.0	0.981	0.963	0.681	UniRef:UniRef50_A0A1B1AD72
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	108815	109963	-	HNGIBB_00118	355.0	9.2e-119	1.005	0.914	0.516	UniRef:UniRef50_A0A951B2B1
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	110109	111047	+	HNGIBB_00119	474.0	2.2e-167	1.0	0.823	0.788	UniRef:UniRef50_A0A2S5M8B3
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	111044	112126	+	HNGIBB_00120	587.0	6.3e-210	0.994	0.819	0.846	UniRef:UniRef50_A0A6I6MQU8
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	112123	113502	+	HNGIBB_00121	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	113529	115799	+	HNGIBB_00122	1004.0	0.0	0.968	0.977	0.723	UniRef:UniRef50_A0A6I6MIZ0
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	115796	117190	+	HNGIBB_00123	533.0	1.2e-186	0.983	0.981	0.610	UniRef:UniRef50_A0A920EQR8
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	117187	118032	+	HNGIBB_00124	367.0	2.8e-126	1.0	0.886	0.662	UniRef:UniRef50_A0A523FZ90
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	118146	118397	+	HNGIBB_00125	112.0	2.1e-32	0.843	0.833	0.714	UniRef:UniRef50_Q0C0N8
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	118381	119733	+	HNGIBB_00126	646.0	1.8e-231	1.007	0.985	0.779	UniRef:UniRef50_A0A109LTI8
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	119743	121146	-	HNGIBB_00127	557.0	7.6e-195	0.998	0.861	0.635	UniRef:UniRef50_A0A1V2ETE0
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	121199	122041	+	HNGIBB_00128	330.0	8.1e-112	0.968	0.874	0.576	UniRef:UniRef50_W0AHB7
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	122091	122738	+	HNGIBB_00129	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	122735	123508	-	HNGIBB_00130	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	123505	124350	-	HNGIBB_00131	293.0	9.1e-98	0.911	0.901	0.609	UniRef:UniRef50_A0A9E3ZV04
