Description	Count	contig
tail	6	SRR35808611_ctg442|provirus_3721232_3760862
transcription regulation	4	SRR35808611_ctg442|provirus_3721232_3760862
unknown function	39	SRR35808611_ctg442|provirus_3721232_3760862
tRNAs	0	SRR35808611_ctg442|provirus_3721232_3760862
CRISPRs	0	SRR35808611_ctg442|provirus_3721232_3760862
tmRNAs	0	SRR35808611_ctg442|provirus_3721232_3760862
VFDB_Virulence_Factors	0	SRR35808611_ctg442|provirus_3721232_3760862
CARD_AMR_Genes	0	SRR35808611_ctg442|provirus_3721232_3760862
CDS	62	SRR35808611_ctg442|provirus_4085068_4130200
connector	1	SRR35808611_ctg442|provirus_4085068_4130200
DNA, RNA and nucleotide metabolism	5	SRR35808611_ctg442|provirus_4085068_4130200
head and packaging	9	SRR35808611_ctg442|provirus_4085068_4130200
integration and excision	1	SRR35808611_ctg442|provirus_4085068_4130200
lysis	1	SRR35808611_ctg442|provirus_4085068_4130200
moron, auxiliary metabolic gene and host takeover	0	SRR35808611_ctg442|provirus_4085068_4130200
other	1	SRR35808611_ctg442|provirus_4085068_4130200
tail	8	SRR35808611_ctg442|provirus_4085068_4130200
transcription regulation	1	SRR35808611_ctg442|provirus_4085068_4130200
unknown function	35	SRR35808611_ctg442|provirus_4085068_4130200
tRNAs	0	SRR35808611_ctg442|provirus_4085068_4130200
CRISPRs	0	SRR35808611_ctg442|provirus_4085068_4130200
tmRNAs	0	SRR35808611_ctg442|provirus_4085068_4130200
VFDB_Virulence_Factors	0	SRR35808611_ctg442|provirus_4085068_4130200
CARD_AMR_Genes	0	SRR35808611_ctg442|provirus_4085068_4130200
CDS	50	SRR35808611_ctg514|provirus_397177_435424
connector	0	SRR35808611_ctg514|provirus_397177_435424
DNA, RNA and nucleotide metabolism	1	SRR35808611_ctg514|provirus_397177_435424
head and packaging	0	SRR35808611_ctg514|provirus_397177_435424
integration and excision	2	SRR35808611_ctg514|provirus_397177_435424
lysis	1	SRR35808611_ctg514|provirus_397177_435424
moron, auxiliary metabolic gene and host takeover	0	SRR35808611_ctg514|provirus_397177_435424
other	0	SRR35808611_ctg514|provirus_397177_435424
tail	0	SRR35808611_ctg514|provirus_397177_435424
transcription regulation	1	SRR35808611_ctg514|provirus_397177_435424
unknown function	45	SRR35808611_ctg514|provirus_397177_435424
tRNAs	0	SRR35808611_ctg514|provirus_397177_435424
CRISPRs	0	SRR35808611_ctg514|provirus_397177_435424
tmRNAs	0	SRR35808611_ctg514|provirus_397177_435424
VFDB_Virulence_Factors	0	SRR35808611_ctg514|provirus_397177_435424
CARD_AMR_Genes	0	SRR35808611_ctg514|provirus_397177_435424
CDS	53	SRR35808611_ctg707|provirus_5227802_5272024
connector	0	SRR35808611_ctg707|provirus_5227802_5272024
DNA, RNA and nucleotide metabolism	2	SRR35808611_ctg707|provirus_5227802_5272024
head and packaging	6	SRR35808611_ctg707|provirus_5227802_5272024
integration and excision	1	SRR35808611_ctg707|provirus_5227802_5272024
lysis	2	SRR35808611_ctg707|provirus_5227802_5272024
moron, auxiliary metabolic gene and host takeover	0	SRR35808611_ctg707|provirus_5227802_5272024
other	0	SRR35808611_ctg707|provirus_5227802_5272024
tail	1	SRR35808611_ctg707|provirus_5227802_5272024
transcription regulation	2	SRR35808611_ctg707|provirus_5227802_5272024
unknown function	39	SRR35808611_ctg707|provirus_5227802_5272024
tRNAs	0	SRR35808611_ctg707|provirus_5227802_5272024
CRISPRs	0	SRR35808611_ctg707|provirus_5227802_5272024
tmRNAs	0	SRR35808611_ctg707|provirus_5227802_5272024
VFDB_Virulence_Factors	0	SRR35808611_ctg707|provirus_5227802_5272024
CARD_AMR_Genes	0	SRR35808611_ctg707|provirus_5227802_5272024
CDS	56	SRR35808611_ctg1214|provirus_771119_813367
connector	1	SRR35808611_ctg1214|provirus_771119_813367
DNA, RNA and nucleotide metabolism	2	SRR35808611_ctg1214|provirus_771119_813367
head and packaging	5	SRR35808611_ctg1214|provirus_771119_813367
integration and excision	1	SRR35808611_ctg1214|provirus_771119_813367
lysis	1	SRR35808611_ctg1214|provirus_771119_813367
moron, auxiliary metabolic gene and host takeover	2	SRR35808611_ctg1214|provirus_771119_813367
other	2	SRR35808611_ctg1214|provirus_771119_813367
tail	2	SRR35808611_ctg1214|provirus_771119_813367
transcription regulation	2	SRR35808611_ctg1214|provirus_771119_813367
unknown function	38	SRR35808611_ctg1214|provirus_771119_813367
tRNAs	0	SRR35808611_ctg1214|provirus_771119_813367
CRISPRs	0	SRR35808611_ctg1214|provirus_771119_813367
tmRNAs	0	SRR35808611_ctg1214|provirus_771119_813367
VFDB_Virulence_Factors	0	SRR35808611_ctg1214|provirus_771119_813367
CARD_AMR_Genes	0	SRR35808611_ctg1214|provirus_771119_813367
CDS	63	SRR35809155_ctg108|provirus_3243057_3288390
connector	1	SRR35809155_ctg108|provirus_3243057_3288390
DNA, RNA and nucleotide metabolism	5	SRR35809155_ctg108|provirus_3243057_3288390
head and packaging	9	SRR35809155_ctg108|provirus_3243057_3288390
integration and excision	1	SRR35809155_ctg108|provirus_3243057_3288390
lysis	1	SRR35809155_ctg108|provirus_3243057_3288390
moron, auxiliary metabolic gene and host takeover	0	SRR35809155_ctg108|provirus_3243057_3288390
other	1	SRR35809155_ctg108|provirus_3243057_3288390
tail	8	SRR35809155_ctg108|provirus_3243057_3288390
transcription regulation	1	SRR35809155_ctg108|provirus_3243057_3288390
unknown function	36	SRR35809155_ctg108|provirus_3243057_3288390
tRNAs	0	SRR35809155_ctg108|provirus_3243057_3288390
CRISPRs	0	SRR35809155_ctg108|provirus_3243057_3288390
tmRNAs	0	SRR35809155_ctg108|provirus_3243057_3288390
VFDB_Virulence_Factors	0	SRR35809155_ctg108|provirus_3243057_3288390
CARD_AMR_Genes	0	SRR35809155_ctg108|provirus_3243057_3288390
CDS	60	SRR35809155_ctg108|provirus_3612395_3652025
connector	0	SRR35809155_ctg108|provirus_3612395_3652025
DNA, RNA and nucleotide metabolism	2	SRR35809155_ctg108|provirus_3612395_3652025
head and packaging	4	SRR35809155_ctg108|provirus_3612395_3652025
integration and excision	2	SRR35809155_ctg108|provirus_3612395_3652025
lysis	2	SRR35809155_ctg108|provirus_3612395_3652025
moron, auxiliary metabolic gene and host takeover	0	SRR35809155_ctg108|provirus_3612395_3652025
other	1	SRR35809155_ctg108|provirus_3612395_3652025
tail	6	SRR35809155_ctg108|provirus_3612395_3652025
transcription regulation	4	SRR35809155_ctg108|provirus_3612395_3652025
unknown function	39	SRR35809155_ctg108|provirus_3612395_3652025
tRNAs	0	SRR35809155_ctg108|provirus_3612395_3652025
CRISPRs	0	SRR35809155_ctg108|provirus_3612395_3652025
tmRNAs	0	SRR35809155_ctg108|provirus_3612395_3652025
VFDB_Virulence_Factors	0	SRR35809155_ctg108|provirus_3612395_3652025
CARD_AMR_Genes	0	SRR35809155_ctg108|provirus_3612395_3652025
CDS	56	SRR35809332_ctg866|provirus_3351243_3393491
connector	1	SRR35809332_ctg866|provirus_3351243_3393491
DNA, RNA and nucleotide metabolism	2	SRR35809332_ctg866|provirus_3351243_3393491
head and packaging	5	SRR35809332_ctg866|provirus_3351243_3393491
integration and excision	1	SRR35809332_ctg866|provirus_3351243_3393491
lysis	1	SRR35809332_ctg866|provirus_3351243_3393491
moron, auxiliary metabolic gene and host takeover	2	SRR35809332_ctg866|provirus_3351243_3393491
other	2	SRR35809332_ctg866|provirus_3351243_3393491
tail	2	SRR35809332_ctg866|provirus_3351243_3393491
transcription regulation	2	SRR35809332_ctg866|provirus_3351243_3393491
unknown function	38	SRR35809332_ctg866|provirus_3351243_3393491
tRNAs	0	SRR35809332_ctg866|provirus_3351243_3393491
CRISPRs	0	SRR35809332_ctg866|provirus_3351243_3393491
tmRNAs	0	SRR35809332_ctg866|provirus_3351243_3393491
VFDB_Virulence_Factors	0	SRR35809332_ctg866|provirus_3351243_3393491
CARD_AMR_Genes	0	SRR35809332_ctg866|provirus_3351243_3393491
CDS	63	SRR35809332_ctg1415|provirus_2264398_2309731
connector	1	SRR35809332_ctg1415|provirus_2264398_2309731
DNA, RNA and nucleotide metabolism	5	SRR35809332_ctg1415|provirus_2264398_2309731
head and packaging	9	SRR35809332_ctg1415|provirus_2264398_2309731
integration and excision	1	SRR35809332_ctg1415|provirus_2264398_2309731
lysis	1	SRR35809332_ctg1415|provirus_2264398_2309731
moron, auxiliary metabolic gene and host takeover	0	SRR35809332_ctg1415|provirus_2264398_2309731
other	1	SRR35809332_ctg1415|provirus_2264398_2309731
tail	8	SRR35809332_ctg1415|provirus_2264398_2309731
transcription regulation	1	SRR35809332_ctg1415|provirus_2264398_2309731
unknown function	36	SRR35809332_ctg1415|provirus_2264398_2309731
tRNAs	0	SRR35809332_ctg1415|provirus_2264398_2309731
CRISPRs	0	SRR35809332_ctg1415|provirus_2264398_2309731
tmRNAs	0	SRR35809332_ctg1415|provirus_2264398_2309731
VFDB_Virulence_Factors	0	SRR35809332_ctg1415|provirus_2264398_2309731
CARD_AMR_Genes	0	SRR35809332_ctg1415|provirus_2264398_2309731
CDS	60	SRR35809332_ctg1415|provirus_2633736_2673366
connector	0	SRR35809332_ctg1415|provirus_2633736_2673366
DNA, RNA and nucleotide metabolism	2	SRR35809332_ctg1415|provirus_2633736_2673366
head and packaging	4	SRR35809332_ctg1415|provirus_2633736_2673366
integration and excision	2	SRR35809332_ctg1415|provirus_2633736_2673366
lysis	2	SRR35809332_ctg1415|provirus_2633736_2673366
moron, auxiliary metabolic gene and host takeover	0	SRR35809332_ctg1415|provirus_2633736_2673366
other	1	SRR35809332_ctg1415|provirus_2633736_2673366
tail	6	SRR35809332_ctg1415|provirus_2633736_2673366
transcription regulation	4	SRR35809332_ctg1415|provirus_2633736_2673366
unknown function	39	SRR35809332_ctg1415|provirus_2633736_2673366
tRNAs	0	SRR35809332_ctg1415|provirus_2633736_2673366
CRISPRs	0	SRR35809332_ctg1415|provirus_2633736_2673366
tmRNAs	0	SRR35809332_ctg1415|provirus_2633736_2673366
VFDB_Virulence_Factors	0	SRR35809332_ctg1415|provirus_2633736_2673366
CARD_AMR_Genes	0	SRR35809332_ctg1415|provirus_2633736_2673366
CDS	61	SRR35809336_ctg10052|provirus_1805875_1849128
connector	2	SRR35809336_ctg10052|provirus_1805875_1849128
DNA, RNA and nucleotide metabolism	2	SRR35809336_ctg10052|provirus_1805875_1849128
head and packaging	8	SRR35809336_ctg10052|provirus_1805875_1849128
integration and excision	2	SRR35809336_ctg10052|provirus_1805875_1849128
lysis	0	SRR35809336_ctg10052|provirus_1805875_1849128
moron, auxiliary metabolic gene and host takeover	0	SRR35809336_ctg10052|provirus_1805875_1849128
other	0	SRR35809336_ctg10052|provirus_1805875_1849128
tail	7	SRR35809336_ctg10052|provirus_1805875_1849128
transcription regulation	4	SRR35809336_ctg10052|provirus_1805875_1849128
unknown function	36	SRR35809336_ctg10052|provirus_1805875_1849128
tRNAs	0	SRR35809336_ctg10052|provirus_1805875_1849128
CRISPRs	0	SRR35809336_ctg10052|provirus_1805875_1849128
tmRNAs	0	SRR35809336_ctg10052|provirus_1805875_1849128
VFDB_Virulence_Factors	0	SRR35809336_ctg10052|provirus_1805875_1849128
CARD_AMR_Genes	0	SRR35809336_ctg10052|provirus_1805875_1849128
CDS	63	SRR35809336_ctg10687|provirus_4211115_4255250
connector	3	SRR35809336_ctg10687|provirus_4211115_4255250
DNA, RNA and nucleotide metabolism	2	SRR35809336_ctg10687|provirus_4211115_4255250
head and packaging	5	SRR35809336_ctg10687|provirus_4211115_4255250
integration and excision	1	SRR35809336_ctg10687|provirus_4211115_4255250
lysis	2	SRR35809336_ctg10687|provirus_4211115_4255250
moron, auxiliary metabolic gene and host takeover	0	SRR35809336_ctg10687|provirus_4211115_4255250
other	4	SRR35809336_ctg10687|provirus_4211115_4255250
tail	8	SRR35809336_ctg10687|provirus_4211115_4255250
transcription regulation	4	SRR35809336_ctg10687|provirus_4211115_4255250
unknown function	34	SRR35809336_ctg10687|provirus_4211115_4255250
tRNAs	1	SRR35809336_ctg10687|provirus_4211115_4255250
CRISPRs	0	SRR35809336_ctg10687|provirus_4211115_4255250
tmRNAs	0	SRR35809336_ctg10687|provirus_4211115_4255250
VFDB_Virulence_Factors	0	SRR35809336_ctg10687|provirus_4211115_4255250
CARD_AMR_Genes	0	SRR35809336_ctg10687|provirus_4211115_4255250
