Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SRR35808900_ctg10508	100.0	0.01	Neural Network (Specific Model)	11	0.899	3800243	312.8467233342473	3800243	0.64	3647	1	3800243	None
SRR35808900_ctg10862	99.92	0.17	Neural Network (Specific Model)	11	0.895	5628210	365.7128562105721	5628210	0.58	4597	1	5628210	None
SRR35808900_ctg1246	100.0	2.23	Neural Network (Specific Model)	11	0.896	6963633	326.63887147335424	6963633	0.67	6380	1	6963633	None
SRR35808900_ctg1948	100.0	0.06	Neural Network (Specific Model)	11	0.913	2961258	298.9221596555151	2961258	0.69	3019	1	2961258	None
SRR35808900_ctg7222	99.3	0.13	Gradient Boost (General Model)	11	0.902	3523941	336.9695044472681	3523941	0.39	3148	1	3523941	None
SRR35808900_ctg7653	100.0	0.07	Gradient Boost (General Model)	11	0.895	3877565	320.6979512735327	3877565	0.45	3612	1	3877565	None
SRR35808900_ctg8089	6.38	0.0	Gradient Boost (General Model)	11	0.178	12153	82.44444444444444	12153	0.53	9	1	12153	None
SRR35808900_ctg8479	100.0	0.02	Neural Network (Specific Model)	11	0.901	6148400	310.87487386478307	6148400	0.66	5946	1	6148400	None
SRR35809155_ctg108	100.0	0.16	Neural Network (Specific Model)	11	0.911	4383194	331.2666997765086	4383194	0.67	4027	1	4383194	None
SRR35809155_ctg14	99.95	0.14	Neural Network (Specific Model)	11	0.904	3637296	344.57142857142856	3637296	0.41	3185	1	3637296	None
SRR35809155_ctg214	2.87	0.0	Neural Network (Specific Model)	11	0.922	41933	314.780487804878	41933	0.73	41	1	41933	None
SRR35809155_ctg339	99.88	0.16	Neural Network (Specific Model)	11	0.903	3350578	318.7347839798171	3350578	0.68	3171	1	3350578	None
SRR35809155_ctg370	100.0	0.13	Neural Network (Specific Model)	11	0.908	3539828	299.85143814576935	3539828	0.69	3581	1	3539828	None
SRR35809155_ctg372	100.0	1.66	Gradient Boost (General Model)	11	0.901	5987058	315.0108505425271	5987058	0.67	5714	1	5987058	None
SRR35809155_ctg458	99.92	0.17	Neural Network (Specific Model)	11	0.896	5632479	365.6085161850967	5632479	0.58	4603	1	5632479	None
SRR35809155_ctg497	100.0	0.04	Gradient Boost (General Model)	11	0.914	3323616	330.65352020860496	3323616	0.42	3068	1	3323616	None
SRR35809155_ctg606	98.92	0.62	Gradient Boost (General Model)	11	0.954	4767660	346.89010487916096	4767660	0.63	4386	1	4767660	None
SRR35809155_ctg937	98.71	0.48	Gradient Boost (General Model)	11	0.929	3894027	321.2375	3894027	0.63	3760	1	3894027	None
SRR35809155_ctg95	99.99	0.0	Neural Network (Specific Model)	11	0.938	4193252	327.35169491525426	4193252	0.66	4012	1	4193252	None
SRR35809155_ctg964	99.94	1.66	Neural Network (Specific Model)	11	0.824	6146115	307.35216127860514	6146115	0.47	5506	1	6146115	None
SRR35809332_ctg1020	99.99	0.12	Neural Network (Specific Model)	11	0.891	4725015	310.7062596770626	4725015	0.7	4521	1	4725015	None
SRR35809332_ctg1086	99.99	2.57	Neural Network (Specific Model)	11	0.91	5453186	358.7703960181779	5453186	0.46	4621	1	5453186	None
SRR35809332_ctg1346	99.95	0.14	Neural Network (Specific Model)	11	0.904	3646588	345.72070373861135	3646588	0.41	3183	1	3646588	None
SRR35809332_ctg1415	100.0	0.16	Neural Network (Specific Model)	11	0.912	4393929	331.52416356877325	4393929	0.67	4035	1	4393929	None
SRR35809332_ctg1499	100.0	0.01	Neural Network (Specific Model)	11	0.895	5941267	369.10718002081165	5941267	0.43	4805	1	5941267	None
SRR35809332_ctg162	98.92	0.42	Gradient Boost (General Model)	11	0.929	3960257	319.94713541666664	3960257	0.63	3840	1	3960257	None
SRR35809332_ctg2068	98.28	1.04	Gradient Boost (General Model)	11	0.889	5517177	320.58610567514677	5517177	0.65	5110	1	5517177	None
SRR35809332_ctg2081	98.92	0.62	Gradient Boost (General Model)	11	0.954	4774263	346.82453345471095	4774263	0.63	4394	1	4774263	None
SRR35809332_ctg2090	99.85	0.08	Neural Network (Specific Model)	11	0.922	3271996	346.5812112869924	3271996	0.7	2906	1	3271996	None
SRR35809332_ctg2153	100.0	0.05	Neural Network (Specific Model)	11	0.906	3100622	321.5476680384088	3100622	0.71	2916	1	3100622	None
SRR35809332_ctg2198	99.61	0.14	Neural Network (Specific Model)	11	0.915	3435234	293.0365513392857	3435234	0.62	3584	1	3435234	None
SRR35809332_ctg866	100.0	0.0	Neural Network (Specific Model)	11	0.931	5029829	339.9554638279383	5029829	0.7	4603	1	5029829	None
SRR35809332_ctg873	99.13	1.0	Gradient Boost (General Model)	11	0.919	3930629	325.34169363538297	3930629	0.63	3708	1	3930629	None
SRR35809332_ctg9	100.0	0.04	Gradient Boost (General Model)	11	0.914	3322069	330.62438865340727	3322069	0.42	3067	1	3322069	None
SRR35809336_ctg10052	99.98	0.02	Neural Network (Specific Model)	11	0.897	3918028	305.569903670919	3918028	0.65	3841	1	3918028	None
SRR35809336_ctg10687	98.6	0.26	Gradient Boost (General Model)	11	0.914	4546338	326.51577955723036	4546338	0.62	4246	1	4546338	None
SRR35809336_ctg3748	100.0	0.06	Neural Network (Specific Model)	11	0.935	2730040	320.439143501127	2730040	0.58	2662	1	2730040	None
SRR35809336_ctg3918	100.0	0.01	Neural Network (Specific Model)	11	0.899	3800470	312.6232876712329	3800470	0.64	3650	1	3800470	None
SRR35809336_ctg476	98.92	0.42	Gradient Boost (General Model)	11	0.929	3960146	319.92473958333335	3960146	0.63	3840	1	3960146	None
SRR35809336_ctg4857	100.0	0.0	Neural Network (Specific Model)	11	0.858	6710400	297.22316733683886	6710400	0.63	6466	1	6710400	None
SRR35809336_ctg5506	11.66	0.11	Gradient Boost (General Model)	11	0.902	17481	404.3076923076923	17481	0.68	13	1	17481	None
SRR35809336_ctg7029	100.0	0.0	Neural Network (Specific Model)	11	0.938	4196316	327.35018679950184	4196316	0.66	4015	1	4196316	None
SRR35809336_ctg7700	100.0	0.0	Neural Network (Specific Model)	11	0.923	3281058	325.1617883563847	3281058	0.67	3109	1	3281058	None
SRR35809336_ctg8014	99.93	0.2	Neural Network (Specific Model)	11	0.92	3616199	296.5369431848493	3616199	0.63	3749	1	3616199	None
